stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.13,0,0,0,0,9.07,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.25,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0,0,13.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.08,11.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.25,6.82,0,0.85,0,0,0,0,0,0,0.93,0,0,0.87,0,0,0,1.84,0,0,2.53,3.46,0,0,0,0,31.23,1.03,0,0,13.86,3.91,0,0,20.24,0,2.29
 24-34,0,0,7.62,5.49,0,2.84,2.31,2.66,1.23,0,0,0,6.2,0,0.79,0.89,0,1.2,6.03,8.04,0,0,14.81,33.94,0,0,1.09,0,83.52,0,12.75,1.3,12.15,4.32,0,0,116.22,0,28.96
 36-46,0,0,0.7,8.68,0,2.62,3.57,0,0.62,0,0,0,1.58,0,1.44,4.31,0,0,18.06,24.22,0,0,10.2,31.06,0.64,0,1.44,0,151.7,0,16.4,2.72,0,8.04,0,0,115.05,0,70.8
 48-58,0,0,5.28,0.41,0,17.46,6.04,16.43,1.98,2.27,0.49,0,9.47,0,0,7.76,0,0,49.37,39.93,0.63,0,7.58,60.51,0.38,0.47,3.16,0,86.34,0,6.94,0,0,8.25,0,0,161.52,0,89.26
 60-70,0,0,3.93,0,0,13.49,4.09,0.69,3.03,32.5,0,0,1.85,3.36,0,33.79,0,1.63,29.19,64.52,2.95,0,9.49,27.98,0,0,2,0,121.1,0,1.44,0,0,8.22,0,0,146.45,0,78.39
 72-82,1.04,0.56,4.37,0,0,17.47,1.01,0,7.36,66.45,3.47,0,4.21,0.68,1.98,32.32,1,0,3.92,94.26,3.05,1.32,7.79,36.72,0,0,5.22,0,82.46,0,2.29,2.68,0,3.8,0,0,305.89,3.8,92.02
 84-94,0,0,4.6,0,0,9.27,1.15,1.2,4.37,68.46,4.09,0,5.6,1.03,6.78,23.13,0,0,29.79,69.78,1.89,7.09,0.98,46.61,1.9,0,10.94,0,200.58,0,5.55,0,0,1.05,0.76,0,242.59,1.78,78.77
 96-106,0,0,18.13,5.27,2.17,23.56,1.45,8.99,3.67,82.09,2.24,0,2.06,2.1,7.11,19.29,1.29,0.84,10.01,70.74,8.14,2.34,8.48,80.52,0.75,2.91,2.68,5.94,275.71,0,1.82,0,0,3.57,0.58,1.27,319.85,3.18,156.21
108-118,0,0,5.28,0,10.28,43.36,9.21,4.66,7.98,90.74,10.26,0,8.2,1.48,6.15,81.95,0,3.59,23.22,65.76,5.04,0.49,14.4,57.28,0.51,0,3.27,4.24,135,0,5.58,1.23,0,6.01,1.28,5.17,195.65,1.52,166.35
120,0,0,10.48,3.39,0,29.41,2.44,4.24,0,68.65,8.29,0,1.17,0,5.98,60.69,2.19,3.23,4.92,36.94,6.61,5.26,16.22,9.77,0,0,16.53,0,124.34,0,6.51,0,0,0,0,0,253.37,0,43.11
