stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,366.32,4982.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.99,0,0,0,0,0,0,0,0
  5-6,1143.74,13348.49,0,45.1,0,0,0,0,0,0,0,58.86,0,0,0,0,0,0,0,0,0,0,656.72,92.77,0,0,176.02,0,184.39,0,0,0,0,0,0,0,0
  7-9,430.85,369.34,0,309.31,0,0,710.31,0,0,0,0,311.99,0,0,0,0,0,0,0,0,0,0,7662.27,488.16,0,0,2709.92,0,25.72,14.02,0,0,0,0,0,0,0
 10-12,8.69,86.18,0,171.96,0,15.59,265.25,0,0,0,0,71.15,0,0,0,0,0,0,0,0,0,0,2878.25,154.69,0,0,947.16,0,0,0,0,84.11,0,0,0,0,0
 14-21,0,0,0,0.81,128.04,11.18,20.85,1.04,0,7.5,5.57,0,0,0,5.23,0.87,0,0,19.56,0.95,0,12.12,230.03,6.65,1.99,0,8.47,0,35.48,0,47.1,6.37,2.71,29.32,75.16,0,0
 24-34,0,0,2.61,0,7.13,0.89,18.91,0.66,0,2.76,0,0,0,0,5.64,0,0,0,12.36,0,0,6.6,174.54,0.68,4.86,2.68,0,0,29.85,0,0,2.03,0,3.86,25,1.8,0.79
 36-46,0,0,0,0,0,0,11.79,1.03,0,1.28,0.56,0,0.75,0,1.77,0,0.66,0,5.89,0,0,0,72,2.75,1.15,0.65,0,0,15.56,0.81,0,0,0,0,18.23,0.92,0
 48-58,0,0,0,0,7.48,0,27.91,0,0.6,2.59,0,0,0,7.71,0,0,0.41,3.73,6.79,0,0,0,31.21,0,0,1.77,0,0,12.56,0,0,0,0,0,7.05,0,0
 60-70,0,0,0,0,2.5,0,34.12,0,0,0,0,0,0,0.6,0.56,0.66,0,6.76,1.77,0,0,0.58,53.99,0,0.75,0,0,0,5.77,0,0,0,0,0,4.05,2.57,0
 72-82,0,0,0.56,0,4.55,0,29.47,2.27,0.85,0,0.85,0,0,1.05,1.16,0,0,0,0.67,0,1.13,0,12.02,0,0,0.53,0,2.01,3.88,0,0,0,0,0,2.51,0.52,0
 84-94,0,0,1.11,0,7.41,0,16.22,0,0,1.72,0,0,0,1.39,3.27,0,0,0,2.15,0,3.33,0,21.54,0,0,0,0,0,7.46,0,0,0,0,0,1.74,0,0
 96-106,0,0,1.05,0,1.36,0,8.17,0,0,3.57,0,0,0,3.26,2.92,0,1,0,3.11,0,0.68,0,10.41,0,0,0.79,0,0,7.44,0,0,0,0.6,0,0,0.81,0
108-118,0,0,0,0,0,1.33,4.7,0,0,2.54,0,0,0,2.83,1.64,0,0,0,4.43,0,0,2.91,15.2,0,0,0,0,0,14.07,0,0,0.55,0,0,6.72,2.23,0.49
120,0,0,0,0,0,0,8.34,0,0,3.23,5.64,0,0,1.43,0,0,0,0,0,0,0,0,0,0,2.92,0,0,0,8.71,0,0,0,0,0,0,0,0
