stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,282.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.52,349.63,0,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0
  7-9,19.39,0,0,16.33,0,0,0,17.02,0,0,0,0,0,19.03,0,0,0,0,0,0,0,0,0,0,0,174.75,7.21,0,0,56.72,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.15,0,0,0,0,0,4.01,0,0,0,0,0,0,0,0,0,0,0,88.92,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.82,0,34.36,2.61,0,3.14,0,0,0,0.92,3.74,1.13,0,0,0,0,0,0,0,12.58,0,0,1.82,46.62,0,0,2.88,0,0,0.92,3.46,0,0,0.8,22.53,0,1.94,0,0
 24-34,0,0,0.8,0,12.65,0.81,0,6.33,0,0,0,0,0,0,0,4.65,3.18,0,1.2,0,0,24.53,0,0,0,55.1,0,0,0,0,0,0,0,4.54,0,0,20.86,0,37.38,0,0.89
 36-46,0,0,0,0,2.65,0,0,22.43,0,0,0,4.25,0,3.43,0,23.04,0,0,0,0,0,4.94,0,0,0,88.37,0,3.42,0,0,0,0.74,0,0,0,0,18.75,0,54.22,0,0
 48-58,0,0,0,1.29,3.03,0.45,0,41.34,0,0,0,9.01,0,6.13,0,19.33,0,0,0.92,0,0,19.4,0,2.17,0.75,105.09,0,6.13,0.83,0,3.06,0.48,0,0,0,0,14.8,0,33.21,0,0
 60-70,0,0,0,0,0.79,0,0,40.27,0,0,0,18.51,0,1.34,0,54.02,0,0,0,0,1.56,90.57,0,0,0,42.21,0,0,0,0,0.71,0,0,6.09,0,0,12.29,12.04,11.07,0,0
 72-82,0,0,0,4.01,4.66,0,0,63.26,14.8,3.67,0,118.51,0,1.34,0,52.78,2.26,0,0,0,0,155.46,0,5.27,0,43.76,0,0.74,0,0,1.06,4.53,0,11.54,0,0,1.64,1.63,31.88,0,0
 84-94,0,0,0,6.92,3.92,0,0,107.69,0.59,0,0,33.53,2.05,3.73,0,105.93,0.56,1.42,0,0,0,177.94,0,3.66,6.99,52.99,0,0,8.11,0,0,0,0,17.1,0,0,0,0,43.86,0.77,0
 96-106,0,0,0,2.18,0.7,11.49,2.48,77.61,14.01,0.96,0,64.44,0,0,0.82,84.94,0,0,0,6.22,0,211.79,2.03,2.25,0,41.27,0,0,0,0,2.72,7.87,0,39.47,1.89,0,3.25,3.81,49.79,1.59,0
108-118,0,0,0,2.79,5.15,0,0,73.01,4.22,0,7.51,140.45,0.66,0,0,71.11,5.37,0.56,0,3.76,1.37,333.99,0,2.84,1.83,39.52,0.43,1.31,2.01,0,2.53,3.1,0,40.47,0,0,9.44,0.83,38.08,3.34,0
120,0,0,0,0,16.7,0,0,74.24,2.36,1.11,0,45.96,0,0,0,75.85,0,0,1.84,0,0,207.87,0,0,0,35.51,0,0,0,0,0,4.27,0,67.51,0,0,13.59,0,17.45,0,0
