stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.8,0.92,0,0.86,0,0,0,0,2.21,0,0,0,0,0.85,0,0,9.86,11.2,0,0,1.48,0,1.34,691.06,115.03,6.5,0,0,0.89,0,0
 24-34,0,0.88,0,0,0.73,0,0,0,0,0,0,0,0,11.73,3.18,0,0,8.87,13.41,1.72,0,0,0,0,210.82,10.27,2.35,0,0,3.38,0,0
 36-46,0,2.56,0,0,1.31,6.44,1.8,0,0,0,0,0,1.99,0,5.29,0,0,10.39,9.53,1.1,0,0,0,0,112.42,1.09,1,0,0,0,0,0
 48-58,0,1.27,0,0,3.4,8.51,5.06,1.6,0,0.99,0,0,2.67,0,8.06,0,0,7.94,38.37,0,0.54,0,0,0,103.42,0,7.61,0,0.51,0,0,0
 60-70,0,3.2,0,0,7.65,18.45,4.23,0,0,1.09,0,0,2.36,0,11.3,1.02,0,15.28,20.24,0,1.84,0,0,0,65.82,0,2.65,0,0,0,0,1.82
 72-82,0,2,3.95,0,4.12,40.28,7.76,6.39,0,0,0,0,1.71,0,18.53,0,1.42,16.68,41.1,1.31,3.08,0,5.32,0,44.39,0,2.03,0,0,0,1.25,0
 84-94,0,10.31,0,0,33.07,47.31,8.76,5.23,0,0,0,0,0,0.68,14.91,0,0,13.75,28.25,0,4.27,0,2.45,0,114.4,0,5.14,0,0,0,0,0
 96-106,0,6.96,35.42,0,53.47,93.69,4.86,7.31,0,0,2.82,1.9,7.27,19.11,33.02,10.34,0,34.37,37.46,0.74,4.97,0,15.7,0,127.41,0,0,2.45,0,2.59,0,8.04
108-118,0.77,9.84,2.48,8.82,24.35,107.32,2.13,2.65,1.09,0,0.55,0,0.62,0,12.25,0.43,0,23.4,34.92,0.9,1.7,0,6.16,0,99.37,0,1.55,0,0,5.63,0,0
120,0,11.96,0,0,1.69,107.04,0,20.62,0,0,0,3.91,4.54,0,14.97,0,0,35.97,47.91,0,6.6,0,1,0,22.52,0,0,0,0,0,0,0
