stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,74.57,428.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.43,259.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.1,0,0,0,17.7,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.84,0,0,0,12.68,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.89,0,1.07,20.22,7.68,0,0.89,0,0,0,20.47,4.26,0,0,0,0,0,0,0,8.96,0,0,17.43,115.41,1.42,0,0,0,0,7.94,0.91,0,41.58,0,8.16,160.92,0,0,0.98,0,0
 24-34,0,0,1.27,19.19,6.74,0,8.53,0,0.63,0.92,34.39,8.46,0.82,0.77,0,0,2.3,2.77,2.64,55.33,0,1.21,66.15,373.55,6.62,2.82,0.86,0,0,9.95,0.86,1.56,28.67,2.28,8.49,364.74,0,0,4.85,0,0
 36-46,0,0,0,0,4.76,0,7.69,0,0,1.03,34.33,5.65,0,12.93,1.79,0,0.77,9.21,0,73.8,0,0,45.89,489.25,9.59,11.89,0.57,0,0,3.06,0,18,22.81,0,0,303.5,0,0,3.85,0,0
 48-58,0,0,0,0,4.48,1.56,22.09,0.47,0,8.54,23.52,5.17,0.5,0,0,0.92,5.84,1.31,2.73,82.11,0,2.97,17.83,483.47,0.66,10.37,6.68,0,0,1.98,0,0,11.51,0,0,111.12,0,0,1.34,0,6.61
 60-70,0,0,0.7,0,0,0.67,47.82,0,0,0.87,23.67,0,0,7.76,0,0,0.77,3.59,0,71.42,0,0.81,2.89,788.13,0,5.09,1.72,0,0,10.96,0,0,3.24,0,0,90.25,0,1.62,1.03,0,0
 72-82,0,0,2.12,0.75,2.31,0,85.97,0,0,2.73,20.12,2.17,1.55,5.99,0.7,0,0.61,0,0,42.39,4.5,11.04,8.91,592.7,0.5,6.01,1.15,0,0,6.54,0,0,0.86,0,0,44.5,0,0,5.37,0,6.22
 84-94,0,0,1.71,0,2.11,7.3,59.04,1.15,0,0,14.04,3.74,1.4,11.85,1.5,2.91,0,9.06,4.77,30.88,0,4.7,4.49,387.04,0,4.74,0.69,0,0,5.38,0,0,7.64,0,0,24.85,0.66,0,10.94,0,0
 96-106,0,0,0,0,2.86,7.83,32.43,3.09,0.58,7.08,14.78,1.13,0,5.68,0,0.71,0,1.3,0,24.89,0,0,0,283.39,1.64,7.75,1.34,0,7.36,5.6,0,0,3.59,0,0,2.73,1.68,0,0.66,2.17,0
108-118,0,0,0,0,11.02,0,26.57,0.42,0,0,16.57,1.64,0,9.52,0,2.79,0.63,6.5,0.94,30.2,0,0,1.08,316.38,0.67,14.94,2.47,0,0,3.41,0,0,2.27,0.44,0,7.39,2.22,0,4.58,0,3.74
120,0,0,0,0,1.16,0,31.75,2.63,0,1.92,40.68,0,0,17.74,0,1.58,0,0,0,11.78,0,0,0,464.6,0,8.69,2.25,0,0,7.36,0,0,22.6,0,0,18.27,0,0,1.32,0,0
