stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,liver,mesenchyme,mural.cell,muscle,neural,otic,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,0.96,0,0,0,0,0,0,0,0,7.46,0,0,0.98,0
 24-34,0,0.74,0,0,1.43,0,0,0,0,0,5.11,0,0,7.4,0,2.86,0.93,1.28
 36-46,0,0,0,0,2.24,0,0,8.68,0.88,0,2.63,0,0.63,4.14,0,0,1.01,0
 48-58,0,1.29,0,0,0.46,0,0,0.41,0,0,1.35,0,0.46,4.81,0,0,0.86,0.58
 60-70,0.86,1.52,0,0,1.83,9.06,1.87,4.55,0,0.87,1.53,0.79,0,3.06,0,2.63,0,0
 72-82,0,0,0,0,3.32,0,0,1.05,0,0,1.81,0,0,1.1,0.89,0,0,0
 84-94,0,0,0,0,0,0,0,2.18,0,1.22,2.3,0,0,2.45,0,3.46,0,0
 96-106,0,0,0,0,0,0,0,3.41,0,0,4.76,0,0,6.91,0,3.04,0,0
108-118,0.91,0,0.61,0.56,4.9,0,1.8,3.59,0,2.23,1.88,0,0.85,12.66,0,0,0,0
120,0,0,0,0,0,0,0,8.09,0,0,7.07,0,0,0,0,0,0,0
