stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,ionocyte,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,somites,spinal.cord,taste,xanthophores
  3-4,100.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,17.84,0,0,0,0,0,0,0
 10-12,14.57,0,0,0,0,0,0,0,0,0,0,0,0,5.57,0,0,0,0
 14-21,0,0,2.75,0,0,0,0,0,0,0,10.6,0,0,0,0.93,1.05,0,0
 24-34,0,0.66,0,0,5.83,0,0,0,0,0,16.94,0,0,0,0,6.79,0,0
 36-46,0,0,0,0,4.09,0,0,0,0,0.89,38.56,0,0,0,0,14.72,0,0
 48-58,0,0,0,0,3.58,0.6,0,0,0.43,0.61,108.05,0,0,0,0,22.66,0,0
 60-70,0,0,0,0,7.74,3.34,0,0,0.8,1.86,155.72,0,0,0,0,17.77,0,0
 72-82,0,0,0,0,28.6,2.24,0,0,0,3.48,163.39,1.35,0.79,0,0,4.53,0,0
 84-94,0,0,0,0,8.82,0,0,0,2.08,4.01,101.07,0,0.63,0,0,4.56,0,0
 96-106,0,0.61,0,1.54,7.39,9.07,0,0.74,2.17,1.15,109.57,0,3.75,0,0,10.36,1.66,22.13
108-118,0,0.8,0,0,25,1.37,0,0,5.46,1.81,116.12,0,2.57,0,0,4.51,0,0
120,0,0,0,0,0,12.46,1.02,0,0,9.04,195.39,0,0,0,0,18.09,0,0
