stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.96,124.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.96,0,0,0,0,0,0,0,0,0,0
  5-6,0,32.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.37,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.61,0,0,0,0,0,0,0,0,0,0,0,8.92,0,0,0,0,0,0,0,0,0,0,0,44.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.22,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,0,142.05,18.51,0,0,26.23,0,0,0,4.97,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,1.98,30.31,109.1,0,18.64,0,0,0,0,0,0,1.5,1.24,0.81,0,0.92,0,0,17.57,0,0,6.07,46.51,0.83,0,0.95,0,0,5,2.43,0,3.3,7.54,23.4,0,0,1.14,0,0
 24-34,0,0,4.47,2.7,2.87,144.69,0,95.87,0,0,0.63,7.39,0,0,4.02,10.39,2.36,0,3.58,4.22,1.55,26.21,0,0,11.94,127.18,0,27.38,5.79,0,0,40.52,0,10.91,0,2.7,31.34,0,0,34.08,0,6.83
 36-46,0,0,0,0,0,16.54,0,59.84,3.38,0.58,2.83,3.13,0,0,5.38,8.59,0,0,2.8,3.24,0,26.43,0,0,13.99,140.35,0,18.37,2.6,0,0,28.57,0,25.53,0,0,30.27,0,0,16.96,0,72.07
 48-58,0,0,0.44,0,12.48,10.93,0,58.06,1.14,8.9,16.14,11.45,0.91,0,2.07,33.74,0.4,0.39,4.88,0.6,1.64,47.74,0.37,3.09,7.42,143.14,0,15.99,11.31,0,0.45,37.46,0,5.25,4.32,0,22.33,0,0.42,20.65,0,29.16
 60-70,0.81,0,0,0.68,25.76,3.49,0,50.44,1.42,2.17,11.35,17.17,10.71,0,1.18,46.38,0.58,3.93,8.29,4.12,4.01,80.38,0,1.64,2.75,171.65,0,11.53,10.14,0,16.79,13.63,0,4.38,0,0,24.29,0,0.61,6.7,2.69,1.72
 72-82,0,0,2.06,0.56,12.28,63.23,0,70.61,0,5.06,20.84,62.85,14.95,0,1.63,29.13,8.98,12.04,7.13,18.48,3.85,170.3,1.43,16.95,6.84,291.23,0,40.99,8.9,0,6.04,9.34,0,2.17,0,0,24.47,3.61,12.73,24.94,12.52,3.65
 84-94,0,0,4.22,0,19.51,43.26,0.59,99.07,2.12,0.57,9.99,36.47,34.75,2.11,0.79,57.61,4.83,3.99,7.38,5.13,3,203.01,4.73,16.31,3.4,182.46,0,31.45,13.26,0,5.27,30.1,0,8.47,5.42,0,17.02,8.55,5.18,59.83,28.08,3.26
 96-106,0,0,2.48,0,20.09,75,1.43,69.63,7.38,4.23,24.55,60.87,35.1,0,2.56,76.51,0.56,0,8.42,13.67,0.94,232.07,0,7.27,3.69,196.07,0,52.05,9.07,0,24.61,22.49,0,6.45,0.71,0,2.11,19.08,2.85,28.38,32.53,3.13
108-118,0,0,0,0.52,14.51,46.37,27.57,76.22,0,2.57,14.46,52.03,21.95,0,0,67.37,18.23,8.88,14.48,11.07,20.12,251.78,1.41,9.17,7.84,241.65,0,44.62,10.34,0,15.63,41.09,0,14.36,0,0,9.56,10.95,6.39,34.07,28.34,11.22
120,0,0,1.37,0,93.17,89.5,2.15,32.7,1.04,1.31,18.14,44.61,29.39,0,0,42.97,3.77,4.92,6.58,7.93,0,268.92,12.84,16.82,5.33,333.99,0,66.39,20.57,0,73.39,1.42,0,11.98,0,0,51.46,8.84,0,20.34,16.37,3.51
