stage,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste
 10-12,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0,0,0
 14-21,0,3.04,0.82,0,0,0,0,0,3.35,0,1.07,7.99,0,2.52,2.76,0,0,4.09,0
 24-34,0,0.7,1.32,0,0.89,0,0,0,3.98,0,0,15.58,0,22.98,0,0,0.66,6.73,0
 36-46,0.98,3.03,3.89,0,0,0,5.06,0,1.86,0,0.69,10.49,1.93,49.37,0,0,0,9.17,0
 48-58,0,1.67,3.56,0,1.1,0,0,0,1.2,0,0.42,18.08,0,30.18,0,0,0,2.53,0
 60-70,0,0,12.73,4.15,4.57,0,0,0,1.71,2.63,0,16.29,0,41.79,0,0,0,5.15,0
 72-82,0,5.75,12.86,0,1.83,0,2.13,0,2.8,0,0,12.07,0,16.31,0,0,0,0,0.95
 84-94,0,1.46,0,0,0,0,1.11,0,0,0,0,7.91,0,49.65,0,1.09,0,0,0
 96-106,0,11.64,4.28,0,0,0,4.43,0,2.76,1.39,3.53,23.54,0,72.06,0,0,0,0,0
108-118,0,11.37,12.04,2.94,0.48,0.43,2.45,0.87,6.02,0,0,6.16,0,65.76,0,0,0,0,1.21
120,0,15.22,8.61,6.74,0,3.03,11.37,0,17.06,0,0,36.84,0,106.55,0,0,0,0,0
