stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.28,252.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.89,108.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.2,0,0,0,0,0,0,0,0,7.79,0,0,0,0,0,0,0,0,0,0,0,220.36,0,0,0,22.81,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.92,0,23.88,0,0,19.48,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,1028.58,0,0,0,55.55,0,0,0,5.05,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,195.34,32.79,8.59,0,0,0,9.83,2.21,0,0,0,1.28,0,0,0,0,20.2,1.1,0,3.99,430.65,1.9,0,3.33,0,0,0,1.31,3.22,11.19,7.81,82.33,0,0,14.31,0,0
 24-34,0,0,0.6,0,141.98,7.57,261.44,0,1.26,0,83.85,0,0,2.23,0,0,0,1.32,0,4.13,99.88,1.93,0,16.59,2233.58,16.23,6.31,18.69,0,0,2.93,0,6.07,0,2.56,483.49,0,0,52.94,0,0
 36-46,0,0,5.55,0,33.83,2.92,707.07,0,0,0,241.73,0,0,4.42,0,0,0,0.72,0,2.36,193.89,1.78,15.2,22.84,1617.12,14.38,2.08,18.43,0,0,5.69,0,3.5,0,0,469.63,0,0.62,63.21,0,1.51
 48-58,0,0,0.54,0,30.56,1.59,746.74,0,6.63,4.02,343.78,0,0,2.04,0,0,0.38,1.89,0,18.37,346.83,0,0,38.59,970,20.44,0.93,25.01,0,0,3.22,0,0.46,0,0,211.31,0,1.32,21.93,0.5,24.84
 60-70,0,0,0.57,0,39.96,0,1267.32,0,2.09,6.48,321.17,0,0,11.98,0,0.61,0,5.97,9.67,1.94,552.23,0,0,35.23,1013.63,13.55,0,29.24,0,1.42,4.68,0,1.35,0,0,171.01,0,9.7,20.69,1.25,20.87
 72-82,0,0,0,0,27.07,11.15,1363.09,0.5,12.15,8.83,364.61,1.67,0,6.85,0,0,4.59,7.14,0.96,0.64,688.12,0,10.15,34.89,1259.49,11.55,15.49,32.86,0,7.39,5.75,0,0.87,0,0,108.43,1.36,16.62,57.84,6.94,35.52
 84-94,0,0,0,0,37.61,0.71,930.43,2.11,3.89,15.69,344.44,0,0,11.67,0.69,0,5.07,11.56,5.03,23.13,630.53,0.71,20.73,33.51,1061.77,23.56,1.6,52.1,0,3.33,3.45,0,2.04,0,0,97.8,0,8.91,57.07,11.29,15.27
 96-106,0,0,1.41,0,42.59,19.97,934.32,1.43,1.53,6.36,312.48,2.21,0,9.18,3.11,2.87,15.03,9.36,0,1.61,570.08,0,16.85,40.34,983.32,15.25,7.08,39.02,0,25.44,4.35,0,2.05,0,0,72.77,8.45,17.22,37.55,10.09,16.03
108-118,3.95,0,9.91,0,53.39,7.04,801.49,2.82,3.94,9.15,390.31,6.94,0,5.24,1.18,0,7.51,6.14,2.33,22.54,694.59,0.44,8.17,36.83,1365.94,37,5.24,47.51,0,18.48,19.39,0,1.34,0,0,49.81,2.3,15.32,46.52,12.74,43.67
120,2.37,0,0,0,55.14,37.51,645.19,1.99,4.55,23.49,461.19,2.68,0,27.5,7.91,3.6,0,2.85,11.33,20.65,696.16,0,10.45,46.66,2321.85,83.63,7.38,72.66,0,48.52,14.88,0,1.26,0,0,64.45,5.02,19.64,40.97,26.37,8.08
