stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,12.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.07,20.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,68.71,0,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.97,33.1,0,0,127.38,0,0,9.31,24.18,0,0,0,0,0,0
 14-21,0,0,11.33,136.82,20.04,0,0,0,0,26.06,3.18,0,2.06,0,0.93,0,0,42.89,0,32.17,12.92,43.32,0,0,2.1,0,0,53.07,0,25.62,3.06,0,0,0,3.62
 24-34,0,0,6.44,16.13,0.87,0.69,1.07,0,0,0,32.58,0.98,0,11.61,5.05,0,0,95.28,0,79.05,19.09,0,0.6,0,0,7.64,0,0,0,4.5,5.8,0,4.92,0,0
 36-46,0,0,0,1.54,0,9.25,0,0,0,0,25.25,2.8,0,0,3.91,0,0,99.82,4.39,23.54,5.25,0,0,0,0,0,0,0,0,0,1.46,1.23,6.67,0,0
 48-58,0,0,0,1.68,0.46,4.77,0,0,2.84,0,27.24,1.29,0,0,1.69,0,0,66.49,6.4,7.82,7.98,1,0,0,0,0,0,0,0,0,2.74,1.28,9,0,0
 60-70,0,0,0,7.99,1.34,4.29,0,0.87,0,0.62,14.71,0,0,0,3.82,0,0,143.75,5.58,8.21,33.46,0,0,3.21,0,0,1.39,0,0,0,6.1,4.19,0.72,0.98,0
 72-82,0,0,0,15.48,14.06,6.57,0,0,1.11,0,18.36,0.66,0,0,16.28,0,0,212.95,3.21,10.99,19.37,0,0,0,0,0,0,0,0,0,3.34,4.37,7.97,0,0
 84-94,0,0,0,34.71,8.9,9.82,0,0,0.56,0.93,12.51,7.11,0,0,10.82,0,1.22,188.49,14.96,25.81,16.86,0,0,0.88,0,8.97,0,0,0,0,6.85,9.69,11.14,1.74,0
 96-106,0,0,0,40.23,13.5,5.66,0.63,0,3.62,0.85,22.88,4.06,0,0,7.9,0.7,3.54,210.04,19.66,24.04,32.73,0,0,0,0,2.4,0,0,0,0,3.97,13.92,4.27,1.33,0.85
108-118,0,0,0,46.31,5.65,5.64,1.44,0,12.92,10.9,13.46,3.83,0,0,8.34,0,0,305.8,20.64,21.85,54.24,0,0,0,0,3.32,0.61,0,0,0,11.46,8.59,9.25,0,1.25
120,0,0,0,23.25,0,3.29,2.19,0,16.11,1.68,6.99,1.61,1.17,0,7.18,0,3.24,325.48,12.32,22.01,55.21,0,0,0,0,16.42,0,0,0,0,0,15.43,6.48,0,0
