stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,heart,melanocytes,mesenchyme,mural.cell,muscle,neural,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,26.97,0,0,0,0,0,0,0,0,0,7.39,8.01,0,0,0,0
  7-9,0,0,3.38,0,0,0,0,0,0,0,8.23,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.88,0,0,0,0,0
 24-34,0,0.8,0,0,1.11,0,0,0,0,1.5,3.47,0,0,0,1.42,0
 36-46,0,0,0.59,0,1.01,0,0,1.77,0,0,0,0,0,0,3.88,0
 48-58,0,0,0,0.66,0,0.73,0,1.37,0,0,0,0.75,0.7,0,1.73,0.99
 60-70,0,4.06,0,0,6.51,0,0,0.64,0,0,0,0,0,0,0,6.5
 72-82,0,2.06,0.54,0.69,2.94,0,0,4.89,1.46,0,2.35,0,1.37,0,0,0
 84-94,0,0,0.66,0,3.94,0,0,2.39,0,0,2.76,1.25,0,0,0,8.89
 96-106,0,1.07,0.6,0,11.56,0,0.77,2.44,0,0,1.36,0,0,0,1.04,0
108-118,0,4.28,0.64,0,0,0,0.84,11.79,0,0,1.47,0,0,0,0.45,1.56
120,0,6.38,0,0,0,0,1.79,22.6,0,0,0,0,0,7.86,0,0
