stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
 14-21,1.03,2.08,1.19,0,0,0,0.92,0,0,0,0,1.31,0,0,5.03,0,0,0,0,0,0,0,0
 24-34,0,0.98,0,3.95,0,0,0,0,0,0,0,3.55,0,0.75,21.42,0,0,7.46,0,2.83,0,0,0
 36-46,0,0,0,0.8,0,0.78,0,0,0,0,0,5.09,0,0.6,7.65,0.83,0,0,0,1.91,0,1.02,0
 48-58,0,0.5,0,2.4,0,0,0,0,0,0,0,5.25,0,0,13.38,0,0,13.85,0,3.92,0,0,0
 60-70,0,3.29,0,3.33,0,0,0,0,0,0,0,5.21,0,0,6.35,0,0,1.13,0.59,1.47,0,0,0
 72-82,0,0,0,2.15,0,0.56,0,0,0,0,0,1.99,0,0,9.93,0,0,1.76,0,1.36,0,0,0
 84-94,0,0,0,2.84,0,0,0,0,0,0,0,7.24,0,0,21.92,0,0,1.67,0.8,5.85,0,0,0
 96-106,0,0,0,18.97,0,1.14,0,0,0,1.12,1.15,0.58,0,0,9.53,0,0,5.24,0,9.17,0,3.94,0.72
108-118,0,0.44,0,6.77,1.5,0.67,0,0.42,0,0.52,0,1.38,0,0.77,10.98,0,1.65,0.54,0,0,1.2,1.52,0
120,0,7.23,0,11.3,0,0,1.02,0,4.13,0,0,0,2.33,0,12.01,1.57,0,0,0,0,0,0,0
