stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,130.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.95,157.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.55,0,0,0,0,0,0,0,0,0,0,52.99,0,0,0,0,0,0,0,0,0,0,83.17,8.34,0,0,20.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,16.35,0,0,0,0,90.61,0,0,0,0,0,0,0,0,0,0,46.11,14.98,0,0,0,0,0,13.45,0,0,0,0,0,0,0
 14-21,0,0,0,0.92,6.69,0,0,0,0,0,0,37.56,0.96,0,0,0,0,0,0,0,0,0,63.96,0,0,2.2,0,0,0,0,0,0.93,59.25,0,0,0,0
 24-34,0,0,0,2.29,0,0,2.73,0,0,0,0,0.77,0,0,0.98,0,0,0,0.73,0,0,0.71,224.15,0,0,1.6,0,0,5.21,0,0.76,0,334.45,0,0,2.63,0
 36-46,0,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0.7,0.77,0,0.66,423.76,5.46,0,6.74,0,0,0,0,0,0,1002.17,0,0,0.66,0
 48-58,0,0,0,0,0,0,24.02,1.67,0.41,2.95,0,0,0,0,0,0,0,0,8.48,0,0,4.26,418.99,0,2.27,0,0,0.73,0.46,0,0,0,526.04,0,0,1.23,0
 60-70,0,0,0,0,0,0,36.78,1.61,0,15.45,0,0,0,0,0,0,0,0,2.12,0,0,0,600.44,0,0,0,0,0,0,0,0,0,668.89,0,0.8,5.11,0
 72-82,0,0,0.5,2.75,1.39,0,35.08,0,1.16,12.75,0.67,0,0,0,0,0,0,1.23,3.09,0,1.52,0,552.88,0,1.2,1.76,0,0,0,0,0,0,370.98,0,0,2.93,6.33
 84-94,0,0,2.22,0.6,4.76,0,54.16,0,0,37.72,0,0,0,0.59,0,0,0,0,22.59,0,0,0.68,350.25,1.11,7.88,0,0,0,3.76,0,0,0,227.72,0,0,1.24,18.04
 96-106,0,0,0,4.09,7.61,0.85,40.14,0,3.22,106.68,2.12,0,0,0,0,4.64,1.83,3.08,23.06,0,0,0,516.24,0,2.85,0,0,0,6.43,0,0,0,140.43,0,0,0,0
108-118,0,0,0,6.09,0,1.46,27.84,0,1.84,212.37,0.43,0,0,0,0,0,2.11,5.6,2.9,0,0,0.92,434.18,0,0,2.69,0,0,5.87,0,0,0,128.16,0.68,0,0,0
120,0,0,0,0,0,0,21.57,0,0,472.91,0,0,0,4.65,0,12.84,0,5.59,12.03,0,2.75,0,1122.06,0,9.97,0,0,0,3.08,0,0,0,324.23,0,0,0,0
