stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,2.81,0,1.8,0,0,0,0,0,0,0,0,0,0,2.15,11.92,0,0,0.84,0,4.5,3.25,8.3,9.37,0,1.2,0
 24-34,0,1.97,0.68,1.33,0,0,0,0.75,0,0,0,0,0,1.27,2.25,17.71,0,0,0,4.15,0,0,0.59,4.54,0,0,0
 36-46,0,1.27,0,0,0,0,0,1.56,0,2.46,0,0,0.7,14.55,0.95,20.25,0,0,0,0.84,0,0,0,6.1,0,0.56,0
 48-58,0,0,0,8.51,0,0,0,2.53,0.64,0,0,0,0,8.28,0.95,28.89,0,0.62,0,2.45,0,0,0,14.32,0,0,0
 60-70,0,0,0,14.18,0,0,0,12.45,0.61,0,0,0,0,3.61,1.27,23.69,0,0,0,0,0,0,0,2.31,0,0,0
 72-82,0,1.43,0,21.58,2.27,0,0.67,1.13,1.32,0,0,0,0,8.7,1.72,43.33,0,0,0,1.09,0,0,0,1.2,0.66,1.94,0
 84-94,0,0,0,13.39,0,0,1.26,2.08,0,0.75,0.62,0,0,1.32,7.97,25.27,0,0,0,0.84,0,0,0,0,0,0,5.56
 96-106,0,3.39,0,7.13,0.93,0.64,0,0,0,0,0,0,0,8.89,0,18.17,0,0,0,0,0,0,0,0,0,0,0
108-118,0.49,0,0,5.22,0,0,0,0,0,0,0,2.02,0,6.43,0,29.9,0,0.95,0,6.33,0,0,0,0,0,0,0
120,0,4.93,0,12.58,5.41,0,0,0,0,1.82,0,0,0,0,5.36,29.57,7.42,0,0,1.94,0,0,0,0,0,0,0
