stage,blastomeres,eye,fast_muscle,glial,gut,iridophores,neural,olfactory,paraxial_mesoderm,periderm,somites
  3-4,40.6,0,0,0,0,0,0,0,0,0,0
  5-6,14.79,0,0,0,0,0,6.4,0,0,7.68,0
  7-9,4.57,4.15,0,0,0,0,17.35,0,3.9,0,0
 10-12,0,5.52,0,0,0,0,11.75,0,7.64,0,0
 14-21,0,0,0,1.72,0,0,0,0,0,0,0.81
 36-46,0,0,0.79,0,0,0,0,1.02,0,0,0
 48-58,0,0,0,1.5,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.86,0,0,0,0
 72-82,0,8.54,0,0,0,0,5.01,0,0,0,0
 84-94,0,7.61,0,0,0,0,2.22,0,0,0,0
 96-106,0,33.3,0,0,0.56,0,6.53,0,0,0,0
108-118,0,0,0,0,0,1.24,2,0,0,0,0
120,0,17.88,0,0,0,0,5.48,0,0,0,0
