stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,57.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,28.6,0,0,0,0,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.17,0,0,0,3.67,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,0.94,0,3.89,0,0,2.07,0,0,0,0,0,0,0,0,1.06,0,0,0,22.29,0,0,0,0,0,0,0,0,0,4.82,0,0,0,0,0
 24-34,0,0,0,1.38,0,1.7,0,0,1.03,0.85,0,0,0.68,0,0,0.68,0,3.27,0.76,0,0.61,34.97,0,0,0.96,0,0,6.65,0,0,0,9.7,0,0,0,0,0
 36-46,0,0,0,0.89,0,2.86,0,0,2.65,0,0,2.2,0,0,0,0,0,1.98,0,0,0,30.76,0,1.52,0,0,0,5.19,0,0,0,6.01,0,0,1.54,0,0
 48-58,0,0,0,0,0,6.7,0,0,5.85,0,0,6.81,0,1.14,0.65,3.54,0.41,16.84,0,0.52,0.63,32.1,0,1.65,0.39,0,0,9.25,0.65,0,0,5.85,0,0,5.88,0,0
 60-70,0,0,5.18,0,0,4.84,0,0.57,10.45,5.84,0.76,2.93,1.08,0,0,2.11,0,12.53,1.14,0,3.15,15.3,0,3.75,0,0,0,38.34,0,0,0,1.41,0,0,1.46,0,0
 72-82,0,0,0,1.4,1.36,7.65,0,0.54,19.73,7.59,1.95,8.56,2.51,0,5.64,0,0,24.57,1.48,2.88,1.32,30.05,0,2.75,3.14,0,1.67,24.45,0,0,0,3.06,0,2.06,3.91,0,7.96
 84-94,0,1.29,0,7.33,8.22,4.27,0.68,3.36,16.46,3.42,0,24.53,2,0,0,0,0,17.74,0,0.84,4.67,25.28,1.49,2.16,9.03,0,0,72.73,0,0.58,0,0,2.41,1.23,4.11,0,6.84
 96-106,0,0,0,22.92,0,13.27,1.72,0.97,20.25,7.26,5.76,27.7,6.5,0,0,2.07,0,42.81,10.19,0,2.96,20.87,0,7.3,1.84,0,0,67.35,0,0,0,1.07,1.47,0,18.2,0.65,11.11
108-118,0,0,0.74,23.3,6.26,16,3.44,0.66,37.17,14.96,1.94,15.35,13.69,0,4.07,2.32,0,58.21,0.95,1.87,2.76,18.3,0,3.36,1.18,0,1.6,92.19,0,1.16,0.69,0.61,4.57,0,8.93,0,1.69
120,0,0,0,32.54,0,10.75,4.4,5.02,11.39,5.47,0,46.36,6.7,0,0,3.28,0,20.75,3.05,6.89,2.34,40.33,0,11.4,11.19,0,0,109.07,0,0,0,0,0,0,14.36,1.45,3.64
