stage,endocrine.pancreas,endoderm,eye,glial,gut,liver,melanocytes,mesenchyme,muscle,neural,paraxial.mesoderm,spinal.cord
 10-12,0,0,0,0,0,0,0,0,0,0,5.13,0
 14-21,0,0,0,0,0,0,0,4.56,1.05,6.71,0,1.06
 24-34,0,0,0,0,0,0.94,0.9,0,0.63,1.98,0,1.27
 36-46,0,1.52,0.62,0,0,0,0,0,0,0.94,0,0
 48-58,0,0,1.21,0,3.98,0,0,0,0,0,0,0.84
 60-70,0,0,0,10.68,3.87,0,0,1.91,0,0,0,0
 72-82,0,0,0,0,1.98,0,0,0,0,0,0,0
 84-94,4.76,0,0,0,5.38,0.76,0,1.53,0,0,0,0
 96-106,2.08,0,0,0,0.68,0,0,0,0,0,0,0
108-118,0.71,0,0,0,6.65,1.37,0,0,0,0.73,0,0
120,0,0,0,0,6.98,1.5,0,0,0,2.91,0,0
