stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,10.91,149.35,0,1.76,0,0,0,1.88,0,0,3.06,0.97,0,0,0,0,60.4,0,0,41.17,19.23,79.41,0,0,1.07,0,4.47,0.86,8.36,7.61,0,0,67.42,0
 24-34,0,0.76,6.18,6.83,0,2.49,0,0,0,0,0,0,34.61,0,2.97,0.72,0,0,159.74,0,0.89,58.08,60.7,103.02,1.18,0,0,0,0,0.85,2.03,11.83,0,0,188.28,0
 36-46,0,0.96,2.59,0,0,0.71,0,0,6.26,0,0.95,0,23.64,0,0,0,0,4.76,228.89,0,0.86,72.96,38.58,87.41,1.22,0,0,2.1,16.03,0,0,6.53,0,0.62,153.65,0
 48-58,0,0,0,0,0,4.8,0,0,14.87,1.39,0,0,20.79,0.96,1.6,0,0,0,202.79,0.74,1.46,52.82,75.12,144.07,0,0,0,0,7.18,0.51,0,4.61,0,0.37,109.91,0
 60-70,0,0,5.36,0,0,10.74,0,0,4.79,2.55,0.65,0,14.44,0,0,3.15,1.57,1.24,259.02,0,14.12,21.97,94.8,93.99,3.02,0,0,9.29,0,4.15,0,9.5,0,8.93,103.41,2.8
 72-82,0,0,4.2,0,0,21.1,0,0,14.87,7.27,1.1,0.52,17.62,0,1.15,0,3.95,0,284.8,0,16.02,30.55,67.11,54.75,1.44,0.76,0,18.31,0,0.88,0,1.17,0,20.17,182.42,4.09
 84-94,0.62,0,3.52,0,1.14,15.68,0.88,8.33,6.78,1.49,0,0,24.77,1.05,1.5,0.81,4.89,0,287.73,0,13.77,12.47,46.22,95.01,0,0,0,16.7,0,0,0,7.22,0,7.06,184.37,15.89
 96-106,0,0,2.4,0,0,16.9,0,0,4.75,9.1,0,0,32.57,0,9.73,0,14.73,0,217.44,0,7.2,17.4,92.4,38.68,0,0.61,0,25.85,0,0,0,2.38,0.83,12.62,195.81,10.59
108-118,0,0,4.19,0.98,0.72,16.16,0,0,5.76,11.01,1.16,0,19.22,1.78,6.2,0,20.09,0,288.56,0,10.06,26.13,102.56,56.27,0,6.75,0,44.51,0,0,0,0,0,11.69,222.1,9.49
120,0,0,1.81,6.45,0,9.78,0,0,8.03,0,0,0,29.5,0,0,2.13,33.76,0,333.43,0,35.26,3.72,96.61,89.42,0,0,0,41.18,1.34,0,0,3.5,0,30.24,200.86,0
