stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle
  3-4,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,0,0,0,0,0,0,0
 10-12,0,0,5.05,0,0,0,0,0,0,0,0,0,0,0,0,19.89,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,0,1.66,0,0,0,0,0,0,0,0,8.98,12.27,0,0,0,0,0,0,853.4,174.61,2.18,0,0
 24-34,0,0,0,1.85,1.28,0,32.55,2.03,0,0,0,3.58,2.92,0,47.56,34.23,0,0,0,0,0,0,288.32,182.35,4.33,0,0
 36-46,0,0,0,0,0,0,37.97,1.08,0,1.32,0,0,0.66,0,14.6,23.96,3.59,0,0,0,0,24.42,80.78,13.86,1.92,0,0
 48-58,0,0,0,0,0,0,9.84,0,0,1.3,0,0,1.28,0,11.89,5.79,0,0,0.62,0,0,0,9.55,0,0,0,0
 60-70,0,0,0,0,0,6.47,8.34,0,0,1.31,0,0,0,0,2.14,6.34,0,0,0,0,0,0,1.46,0,0,0,0
 72-82,0,32.82,0,0,0.67,2.18,17.39,1.33,26.24,2.6,0,0,1.8,0,1.36,4.15,0,0,0,0,0,0,0,0,0,0.67,0
 84-94,0,18.21,0,0,0,1.96,29.77,0,24.31,2.12,0.76,0,1.54,0,1.77,5.13,0,0,0,0,0,0,1.31,0,0,0,0
 96-106,0,19.88,0,0,0,0.73,22.31,5.42,84.83,4.92,0,0,6.88,8.95,15.86,11.24,0.61,0.74,0,0,0,0,2.1,0,3.24,0,1.15
108-118,0,14.73,0,1.05,0,0,35.46,0,17.6,6.65,0,0.42,0,0,8.33,13.01,0,0,0.69,0,2.94,0,0.52,0,0,0,1.1
120,0,7.98,0,0,0,0,45.91,0,25.67,0,0,0,0,0,24.96,5.78,0,0,0,0,0,1.12,4.7,0,0,0,0
