stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,59.71,364.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,0,0,0,0,0,0,0
  5-6,15.41,331.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.64,15.32,0,0,0,0,0,58.73,0,0,0,0,0,20.81,0,0,0,0,0,0,0,0,0,0,0,340.72,8.95,0,0,77.72,0,0,21.83,0,0,0,0,0,0,0,0,0
 10-12,0,32.91,0,54.49,0,0,0,62.58,0,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0,0,0,451.38,39.97,0,0,103.8,0,0,0,4.61,11.51,0,5.09,0,0,0,0,0
 14-21,2.31,0,3.61,8.91,42.86,3.84,0,12.9,0,0,0,2.28,1.19,0,0,0,0.82,0,0,0,2.7,13.21,0,0,17.62,82.37,4.75,1.04,0.94,1.18,0,16.34,3.47,0,4.12,8.57,47.46,0,0,0,0,0
 24-34,0,0,1.94,3.42,10.74,0,0,20.44,0,3.21,0,6.53,0,0,0,1.04,0.99,0.64,4.17,0.94,0,23.51,0,0,8.31,202.09,1.37,11.38,3.36,0,0,32.12,0,0,0.88,2.38,36.34,0,0,0.73,0,0
 36-46,0,0,0,0,14.13,0,0,60.54,0,7.08,0,15.31,1.17,4.4,0,0,0,0,2.83,0.57,0,41.8,1.51,0.63,2.18,467.64,1,8.74,19.38,0,0,41.98,0,2.6,1.28,0,48.75,0,0,1.49,0,0
 48-58,0,0,1.47,0,3.66,0,0,91.78,2.2,2.92,0.75,39.27,0.41,0,0,0,0.5,0,7.43,0.74,1.1,49.78,0.41,0,7.02,533.91,0,12.96,16.36,0,0,52.21,0,0,7.74,0,99.13,0,0,2.36,0,9.99
 60-70,0,0,0,0,6.01,0,0,146.07,0,4.16,0,84.68,0.65,3.55,1.29,0,0.86,0,4.24,0,0,52.09,1.64,1.43,4.3,685.47,8.85,3.12,10.98,0,3.08,33.37,0,0,0.59,0,86.18,0,1.53,0.63,0,0
 72-82,0,0,2.07,0,11.16,3.23,0,259.52,0,0.56,1.93,99.94,7.57,0,0,5.67,0.55,0.65,8.19,0,0,141.19,6.61,0,3.8,794.21,0,11.39,24.79,0,0,48.09,0.85,0,0,0,99.44,0.88,2.32,6.93,7.78,6.88
 84-94,0,0,4,0,15.94,1.49,2.35,142.88,0.79,5.57,4.5,67.9,6.64,0.77,0.8,3.56,2.82,0,8.71,0.82,0,79.53,10.17,6.04,8.77,444.16,0.98,18.53,32.05,0,5.27,107.63,0,0,0,0,53.47,3.56,4.6,11.63,1.74,4.77
 96-106,0,0,0,1.03,34.21,6.47,4.61,161.05,1.45,2.41,2,81.47,6.45,0,0.7,5.27,3.75,0,26.53,2.17,0,94.32,7.98,6.74,5.14,464.47,0.77,29.96,19.56,0,2.97,151.66,0,0,0.9,0,50.2,2.4,8.03,12.38,4.09,0
108-118,0,0,1.35,0,41.93,0,3.99,170.09,0.84,8.47,4.95,84.09,7.66,0,0,8.22,2.75,0,9.88,0.56,0,135.9,8.22,5.84,2.81,539.92,0.48,8,28.97,0,1.19,108.92,0,0,0,0,33.72,5.6,0.41,13.2,2.86,0
120,0,0,0,0,55.95,5.86,2.26,193.62,0,5.47,1.98,175.8,5.66,0,6.52,6.97,5.08,0,1.76,4.54,0,102.03,1.1,0,0,895.22,3.06,19.78,25.34,0,0,160.43,0,0,2.12,0,15.96,6.74,14.03,15.61,3.69,0
