stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,182.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.19,0,5.72,0,0,0,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.18,6.25,0,0,20.99,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,21.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.06,0,0,0,75.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.47,46.06,2.71,0,0.81,0,0,1.86,0.85,0,12.17,0.92,0,0,2.94,0,8.18,0,0,1.02,32.66,3.42,0,0,0,0,0.81,4.32,0,6.1,11.54,0,0,0,0,0
 24-34,0,0,0.9,56.44,3.57,0,13.78,9.48,0,0,1.3,2.14,33.16,2.64,0,0,2.41,10.04,10.22,0,0,2.09,112.05,0,1.09,0,0,0,7.27,0,0.94,0,25.01,0,0,9.08,0,10.33
 36-46,0,0,0,38.58,0,0,14.37,7.08,0,13.89,2.73,0,70.87,2.49,0,1.15,0,5.96,33.55,6.45,0,1.23,101.01,0.68,0,1.4,0,0,9.02,0,3.52,0,26.31,0,0,10.26,0,8.07
 48-58,0,0,0,67.36,0,0,32.6,31.23,1.03,51.55,0.39,2.31,56.78,0,0,0,2.77,1.08,29.41,0.46,8.14,3.13,58.37,0.56,0.4,1.31,0,0,18.92,0,0,0,17.57,0,0.64,8.33,0,23.23
 60-70,0.81,0,0,97.95,0,0,123.83,24.68,0.62,192.08,2.59,0.87,76.07,0.59,0,4.41,3.59,0,48.24,1.53,0.91,3.31,56.78,0,0,0,0,0,42.24,0,0.6,0,10.9,0,1,3.16,0,39.61
 72-82,0,0,0.56,37.87,2.83,0,358.39,41.81,1.39,233.81,3.48,0,59.43,3.06,0,0,0,7.71,79.19,0.56,2.96,7.85,53.99,0.52,2.6,0.56,0,0,69.4,0,0,0,9.7,1.93,0,11.49,3.15,28.84
 84-94,0,0,0,92.81,0.86,0,215.91,43.81,0,230,4.1,1.84,112.86,7.39,0,0.66,0.6,0.73,62.17,2.04,1.32,1.21,64.37,3.61,1.84,1,0,1.75,143.34,0,0.7,0,6.01,4.75,3.54,11.79,3.88,7.01
 96-106,0,0,0,102.74,0,0,429.36,33.86,2.6,281.86,7.02,0.75,84.48,1.51,1.18,1.41,8.48,0,99,2.67,1.95,5.59,105.1,0.66,2.04,0,0,0,179.98,0,0,0,0,5.79,3.08,7.66,2.4,20.33
108-118,0,0,0,99.95,5.78,1.07,235.01,50.2,0.73,275.35,15.73,1.44,114.02,7.05,4.12,4.23,12.26,4.27,69.6,2.21,0,4.21,77.74,0.54,1.87,1.53,0,1.32,145.89,0,1.32,0,3.72,2.11,4.53,6.03,0,7.06
120,0,0,0,156.23,3.98,0,86.12,23.78,1.29,377.8,10.58,0,180.67,11.93,12.97,0,1.05,0,87.05,6.08,0,0,132.41,0,0,0,0,3.42,64.37,0,13.61,0,4.36,2.31,0,10.73,29.41,4.74
