stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature
  5-6,21.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.83,0,0,0,0,5.47,0,0,0,0,0
 14-21,0,1.03,0.91,0,0,0,0,0,0,0,0,3.51,0,0,0,0,4.13
 24-34,0,0,0,2.21,0,0,0,0,0,0,0,4.71,0,0,0,0,21.5
 36-46,0,0,0,0,1.35,0,0,0,0,0,0,10.78,0,0,0,1.44,5.66
 48-58,0,0,0,2.15,15.56,0,0,0,0,0,0,8.5,0,0,0,4.85,13.77
 60-70,0,0,0,0,220.41,0,0,0,9.12,0,0,3.5,0,0,4.67,21.29,8.01
 72-82,0,0.88,0,26.12,577.7,6.51,0,0,0,3.47,0,20.97,0,0,0,10.23,14.84
 84-94,0,2.02,0,13.97,426.48,4.94,0,0,0,4,0,14.95,0,0,0,9.41,16.38
 96-106,0,5.38,0,20.09,614.53,17.16,0,0,0,2.23,2.11,35.92,0,0,7.2,12.02,7.63
108-118,0,0,0,19.86,626.23,19.9,0,0.59,0,3.16,0,17.54,0.42,4.03,2.47,20.28,20.7
120,0,0,0,26.93,1042.66,50.7,0,0,36.76,4.65,0,89.03,0,0,0,9.3,13.57
