stage,epidermis,eye,neural,olfactory,periderm
 24-34,0,0,0,0,0.81
 48-58,0,0,0.39,0,0.56
 60-70,0,0,0,0,4.79
 72-82,0,2.07,0,0,4.72
 84-94,0,0,0,0,13.3
 96-106,0,0,0.91,2.11,10.59
108-118,2.29,0,0,0,24.72
120,0,0,0,0,7.16
