stage,blastomeres,epidermis,eye,glial,melanocytes,mesenchyme,neural,olfactory,otic,spinal_cord
  3-4,37.69,0,0,0,0,0,0,0,0,0
  5-6,19.31,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.08,0,0,0
 24-34,0,1.36,0,0,0,0,1.84,0,0,0.82
 36-46,0,0,0,0,0,0,18.23,0,0,13.75
 48-58,0,0,0.62,0.42,0.54,0,29.76,0,0,4.64
 60-70,0,0,8.48,0,0,0,60.67,0,0,10.93
 72-82,0,1.79,9.63,0.64,0,0.65,92.28,0,0,3.5
 84-94,0,0,16.03,0,0,2.03,30.28,0,7.38,3.07
 96-106,0,0,9.59,0,0,1.7,86.46,0,0,0
108-118,0,0.48,3.47,0,0,0,51.09,0,0,0
120,0,0,0,0,0,0,120.17,8.55,0,1.53
