stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.07,0,0,0,0,0,0,0,0,0
  5-6,0,18.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.71,0,0,0,0,0,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.87,0,0,0,23.24,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,12.43,0,0,29.62,0,0,0,9.74,0,0,0,0,0,0,0,0,0,2.28,0,0,0,1885.97,0,4.34,0,0,0,0,0,0,0,21.11,0,0,0,0,0
 24-34,0,0,0,11.41,0,0,288.44,0,2.41,0,365.94,0,0,0,0,0,0,0,0,0,10.67,0,0,1.67,4147.19,0,16.72,0,0,0,7.8,0,0.63,1.12,49.05,0,0,0,0,2.08
 36-46,0,0,0,10.07,0.56,0,2402,0,0,1.99,4365.2,0.62,0,1.67,7.71,0,28.92,0.79,0.62,5.8,40.53,0,1.42,6.6,17432.57,1.55,11.98,1.36,0,0,26.41,1.06,0,0,2026.71,0,0,1.23,0,9.03
 48-58,0,0,0,75.66,7.58,0,3560.38,11.19,3.23,6.02,10904.17,0,0,1.16,3.07,0.81,4.49,5.32,5.51,5.93,86.09,0.74,0.45,30.29,18422.01,17.83,3.63,4.71,0,0,22.75,6.64,1.79,0,6023.42,0,0.51,20.65,0,35.68
 60-70,2.52,0,0,10.98,0,0,2597.46,2.67,2.9,2.88,7035.88,2.88,0,3.92,7.17,0,1.71,3.63,0,4.47,69.09,0,0,10.5,7420.69,10.29,17.91,4.96,0,0,5.53,11.06,0,0,2991.21,0,0.9,1.87,0,27.75
 72-82,0,0,0.54,33.57,1.56,0,1264.56,2.25,0.56,5.88,5864.41,0.57,0,0.58,2.17,1.75,0.57,2.7,1.52,8.18,72.92,20.36,6.28,3.2,4185.6,1.46,10.59,1.55,0,0,8.65,0,0,0,597.96,0.87,1.19,8.45,0.57,14.32
 84-94,0,0,0,25.69,4.91,0,1117.09,1.84,1.68,0.59,3710.45,0.58,0.66,5.65,6.56,0,2.64,0,0,0.83,24.34,0.76,2.62,0.82,2843.53,2.6,2.75,0.87,0,0,4.15,0.56,0.68,0,717.16,0.71,1.64,2.73,5.95,4.74
 96-106,0,0,0,50.4,15.48,4.91,1188.4,4.23,1.24,3.24,3594.48,0.76,0,2.83,1.71,8.27,1.36,1.5,16.59,0,54.75,6.46,2.21,9.12,2449.84,0.58,14.32,2.25,0,3.11,12.47,0,0,0,169.98,0,7.85,6.28,2.01,10.46
108-118,0,0,0,34.62,4.1,3.75,1017.34,0,0.83,0,3697.2,3.81,0,0,3.08,0,1.26,0,2.66,0,39.9,0,0,2.23,3428.36,0,7.17,0.6,0,1.1,6.06,4.29,1.99,0,91.53,0,0,8.72,3.02,9.34
120,0,0,0,26.02,1.3,1.06,970.08,8.2,2.36,0,4167.24,0,0,0,9.54,0,1.18,8.14,3.92,0,24.69,0,2.35,18.37,2922.34,0,5.65,13.99,0,0,1.24,0,0,0,31.84,0,2.09,0,5.18,0
