stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,1.27,0,0,0,0,0,0,0,0,0,0,0.91,0,0,6.59,0,0,0,5.13,14.53,2.99,0,0,0,0
 24-34,1.92,0,0.94,0,0,0,0,0,0,0,0,2.17,0,0.69,50.12,0,3.72,0,0,8.19,12.84,0,0,0,0
 36-46,0,0,1.38,0,5.84,0,0,0,0,0,0,5.26,0.77,3.36,84.32,0.99,1.24,0,0,0,10.74,0,0,0,0
 48-58,1.46,0,3.93,1.55,15.42,0,0,0,0,0,0,10.4,0,1.63,96.53,0.48,2.22,0.37,0,0,7.19,0,0.37,0,0
 60-70,1.73,0,35.38,0,0.87,0.93,0.6,0.92,0,0,0,32.53,0,1.13,71.39,0,0.58,0,0,0,10.78,0,0,1.24,0
 72-82,0.86,0,60.96,0,8.19,0,0,0,0.76,1.07,0,18.04,0.76,2.17,58.46,0,3,0,0,0,0,2.02,1.21,0.64,0
 84-94,0,9.46,80.67,0,12.61,1.22,0,0,0,4.42,0,12.42,0,0,60.41,0.76,5.04,0.57,0,0,3.45,0,0.98,0,0
 96-106,1.3,4.28,77.59,0.62,49.75,0,0,0.91,0,2.82,0,24.71,0,6.72,87.98,0,1.97,6.81,0,0,0,0,0,3.49,0
108-118,1.47,0,179.63,0,116.92,0,0.98,0,0,2.48,2.95,11.87,0,1.07,72.78,0.41,0,0,0,0,0,0,0.89,0,0
120,0,0,116.25,0,288.57,0,0,0,0,0,0,1.13,0,0,94.85,0,7.69,0,0,0,0,0,0,0,7.26
