stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,immune,lateral_line,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste
  5-6,25.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,19.81,4.29,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.34,0,0,0,7.04,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0.91,0.89,0
 24-34,0,0,0.62,0,0,0,0,0,0,17.78,0,0,0,0,1.71,0,0,3.92,0
 36-46,0,0,0,0,0,0,0,0,0,71.11,0,0,0,0,0,0,0,5.38,0
 48-58,0,0,1.59,3.95,0,0.78,0,0,0,91.91,0,0,0,0,0,0.65,0,8.67,0
 60-70,0,0,0,8.86,0,1.78,0,0,0.63,104.98,0,0,0,0,0,0,0,0,0
 72-82,0,0.64,0.55,11.89,0,3.25,0.63,0.92,6.54,158.4,0,0.55,0.79,0,0,0,0,11.53,0
 84-94,0,0,0,3.57,0,4.2,0,0,0,133.73,0,0,0,0,0,0,0,10.75,1.1
 96-106,0,0,1.89,5.81,0,8.36,0,0,1.51,165.59,0,0,0,0,1.08,0,0,4.16,0
108-118,0,0,1.37,2.81,3.65,4.61,0,0,0.68,180.75,0,0.46,0,0,0,0,0,12.64,0
120,0,0,0,11.56,0,17.57,0,0,0,413.12,0,0,0,0,0,0,0,22.56,0
