stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,immune,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,13.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,4.28,0,0,0,0,0,0
 14-21,0,0,1.95,0,0,0,0,1.08,2.74,0,0,0,0,14.6,0,0,1.99,8.44,0,0,0
 24-34,0,0,0,0,1.45,0,0,0,24.57,0,0.61,6.56,8.35,26.05,0,3.73,0,0,0,0,0
 36-46,0,0,0,0,0.58,0,0.96,0,38.13,0,5.95,3.35,7.07,11.77,0,2.3,0,0,1.05,0,0
 48-58,0,0,0,0,0.5,0,4.73,0,27.2,0,7.19,1.76,1.85,8.27,0,1.64,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,2.15,0.74,45.72,0,10.06,2.74,3.19,4.61,0,2.48,0,0,1.29,0,0
 72-82,0,0,0,0,1.59,1.65,0.56,1.58,47.57,0,9.06,0,5.9,1.46,0,1.58,0,0,0,0,2.1
 84-94,0,0,0,0,0,0,0,0.78,77.31,0,6.62,0,3.36,0.73,0,1.52,0,0,0,0,0
 96-106,0,0,0,0,1.41,0,0,0,78.22,0,9.33,0,0,2.89,0,0.62,0,0,2.38,0,0
108-118,0,0,0,0.52,1.99,0,0,0,74.38,0.46,10.49,0,3.65,0.55,0,0,0,0,0,1.75,0
120,0,0,0,0,0,0,1.6,9.97,66.57,0,3.23,0,0,4.49,0,0,0,0,0,0,0
