stage,axial,blastomeres,endoderm,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,xanthophores
  3-4,23.2,298.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0
  5-6,0,199.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,9.02,0,0,0,0,0,0,0,0,0,0,0,41.28,0,0,0,13.22,0,0,0,0,0
 10-12,0,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,46.43,0,0,0,23.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,0,0,0,0
 36-46,0,0,0,0,2.42,0,1.01,0,1.09,0,0,3.34,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,8.37,0,49.19,0,1.64,0,8.98,1,0,0.85,0,0,12.57,0,3.44,0,0,0,0,1.46,0,0.85
 60-70,0,0,0,0,14.59,0,98.25,0,2.38,0,0,3.95,15.48,2.3,0,0,85.2,0,0,7.42,0,0,0,3.4,0,0.97
 72-82,0,0,0,0,38.57,0,158.08,0,0,0,0,8.65,0,1.31,6.49,0,60.55,0,0,12.83,0,0.87,0.61,1.78,0,8.35
 84-94,0,0,0,0,18.3,0,78.37,0.75,0,0,0,4.21,0,3.55,9.96,4.32,49.5,0,0,9.39,0,0,0,1.86,0,16.94
 96-106,0,0,0,0,9.43,0,51.22,0,0,0,0,10.86,0,0,1.96,0,52.91,0,0,8.99,0,0,0,0,0,0
108-118,0,0,0,0.53,8.45,3.53,33.69,1.49,0,0,1.64,9.9,0,0,9.43,0,70.63,0,0,12.8,0,0,0,1.46,0.44,7.79
120,0,0,0,0,35.13,0,211.39,0,0,3.72,0,15.92,0,10.55,1.49,0,257.51,3.89,0,20.22,0,0,0,0,0,3.28
