stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,24.69,282.97,28.28,0,76.28,0,0,0,34.59,4.82,0,9.07,0.82,1.24,0,0,0,1.71,166.79,1.12,0,143.69,527.23,17.59,1.81,10.43,8.92,0,10.23,9.78,8.79,15.91,3.35,46.41,166.38,0,0,11.25,0,6.32
 24-34,0,1.26,21.91,1.37,0,28.6,0,0,0,31.32,0.65,0,28.33,7.3,1.36,0.7,0,1.12,0,44.02,0,0,19.22,162.65,5.03,12.81,3.93,0,1.99,4.09,0.98,0,5.16,0,3.44,64.06,0,0,9.86,0,0.91
 36-46,0,0,17.55,1.1,0,30.55,0,0,0.89,52.83,0,1.6,44.38,32.29,1.01,1.25,0.67,3.07,8.43,141.55,0,9.46,25.9,326.19,10.35,19.09,8.8,0,2.1,16.66,2.42,0,9.79,0,0,113.65,0,0,24.09,0,0
 48-58,0,0,5.58,2.8,0,28.82,0,0,3.7,32.97,0,17.87,3.31,23.39,0.97,3.43,2.05,4.28,0.86,47.48,0,1.9,4.75,147.74,13.84,18.94,7.3,0,0,1.17,0,0,0.83,0.72,0,45.62,0,0,12.82,0,0
 60-70,0.62,0,40.16,0,0,121.02,0,11.04,38.99,168.06,0,2.63,21.7,29.87,1.35,0.63,11.89,5.84,0,597.68,1.27,22.09,90.51,227.18,8.68,26.88,31.27,0,3.11,8.21,0,0,0.58,0,0,167.89,0,19.42,30.77,9.91,0
 72-82,0,0,15.7,24.19,0,97.46,0,0,8.97,230.17,2.26,0,4.08,24.65,3.24,1.13,15.44,0,0,337.89,4.17,3.96,19.51,457.64,1.15,33.37,19.48,0,0,0.84,0,0,0.51,0,0,205.74,1.21,3.25,35.53,4.49,0
 84-94,0.73,0,21.73,36.74,1.8,128.09,0,5.55,8.71,215.24,0.76,3.15,12.14,58.08,4.47,4.66,14.69,2.08,0,290.52,3.42,0.93,7.14,282.02,0,43.82,29.89,0,0,8.87,0,0,3.4,0,0,200.27,0,25,17.16,0.98,2.62
 96-106,7.2,0,223.93,27.7,5.29,330.13,4.86,33.61,36.16,518.08,21.81,2.12,153.7,60.08,9.31,7.79,24.87,7.05,2.94,1577.3,16.62,71.49,98.41,818.22,28.27,61.62,71.99,0,15.15,18.73,0,0,7.64,0,0,214.64,3.68,32.03,193.04,70.79,17.56
108-118,2.41,0,218.12,14.48,27.81,445.38,1.64,27.01,26.55,735.67,7.52,2.74,28.81,54.7,8.71,46.42,19.24,6.37,2.84,1815.7,22.67,51.49,90.54,1504.15,25.01,46.75,75.16,0,18.58,19,0,0,8,1.58,0,241.38,26.86,45.44,158.02,36.77,32.39
120,8.64,0,194.8,33.12,10.84,442.41,1.26,24.66,27.41,821.21,35.8,0,20.1,121.26,15.76,41.71,47.62,7.1,7.04,1668.88,9.72,67.89,80.49,2003.81,17.36,66.67,106.55,0,27.01,61.16,0,0,1.02,0,0,158.44,2.97,74.85,191.52,29.22,10.19
