stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,768.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.95,0,0,0,0,0,0
  5-6,30.8,230.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.22,8.39,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.59,0,0,0,27.21,0,3.64,0,0,0,0,0
 14-21,0,0,0,4.18,2,0,0,0,0,1.1,0,0,0,2.52,0,15.47,0.85,0,0,0,7.49,1.29,0,0,0,0,0,1.7,4.5,0,1.08,0
 24-34,0,0,0,2.53,0,0,0,0,0,2.04,0,0,0,11.51,0,3.79,1.48,0.61,0,0.64,14.33,0.71,0,0,0,8.47,1.6,0,0,0,1.25,0
 36-46,0,0,0,4.62,0,1.25,2.56,0,0.87,0,0,0,0,15.51,0,0,3.11,0,0,0.88,84.92,0,0.73,0,0,13.94,4.3,0,6.56,0,0.8,0
 48-58,0,0,0,0.88,0,7.63,0,2.39,2.13,0.74,0,0,0,9.53,0,0,3.08,2.63,0,0,135.44,0,0,0,0,19.86,0,0,7.96,0,2.36,0
 60-70,0,0,0,3.36,0,17.8,0,7.78,1.89,0.71,0,0,0.62,5.31,2.13,0,6.97,0.75,0.88,0,155.44,0,1.95,0,0,15.46,1.76,0,10.61,0,0,0
 72-82,0,0,0,10.59,0,48.36,0,1.37,1.36,3.36,1.42,0,2.27,11.38,1.15,0,11.86,0,0,0,142.23,0,0,0.56,0,4.82,0.63,0,15.71,0,1.33,1.53
 84-94,0,0,0,4.79,1.42,15.29,0,0.56,3.4,7.09,3.85,0,4.42,6.03,0,0,0,1.63,0,3.28,112.96,0,0,0.9,0,9.48,4.22,0,13.16,0.78,4.6,1.01
 96-106,0,0,0,19.15,0,13.31,0,0.62,4.02,2.79,5.37,0.8,3.07,14.85,0,0,6.08,0.78,0,0,83.02,0,2.14,0,0,8.29,0.84,0,2,0,7.47,0
108-118,0,0,0.74,7.12,3.25,37.51,0,1.74,6.46,4.95,11.02,0,2.75,9.79,0,0,3.92,0.91,0,0.53,80.76,0,0,4.45,0,2.58,3.88,0,8.28,0.43,3.16,0
120,0,0,0,9.63,0,2.07,0,7.75,16.69,0,26.07,0,13.64,19.21,0,9.22,26.56,0,0,0,130.38,0,0,1.47,0,0,9.93,0,9.15,0,2.17,9.56
