stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.83,61.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0,0,0,0,0
  5-6,9.47,56.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,11.16,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.02,0,17.01,0,0,0,0,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0,0,171.09,0,0,0,14.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,3.55,1.53,0,146.1,0,0,0,1.11,0,0,0,0,0.82,0,0,0,0,17.24,0,0,118.68,628.25,5.23,0,0,0,0,11.27,10.6,0,61.56,355.67,38.01,0,0,0,0
 24-34,0,1.67,1.05,1.99,3.33,0.87,0,365.71,0,0,11.12,2.73,0,0,25.82,0.69,0,0,0,0,0,306.72,0,3.32,251.7,1178.89,0,0.72,0.68,0,0,1.82,0,6.83,8.41,63.78,93.22,0,0,0,0
 36-46,0,0,0,0,4.58,2.92,0,278.04,0,0,44.47,49.52,0,0,52.01,0,9.67,0,0,0.89,0,1048.95,0,1.67,204.12,660.59,0.85,2.23,1.76,0,0,5.3,0,13.21,0,0,108.3,0,0,0,4.39
 48-58,0,0,0,0,1.04,0.37,0,233.49,0,5.35,33.13,60.04,0,0,24.57,0,0,0,0,2.7,1.42,936.82,0,1.98,153.22,340.78,4.95,0,5.58,0,0.53,3.78,0,3.53,0,0,85.43,0,0,0,0
 60-70,0,0,0,0,3.29,0,0,225.63,3.67,18.84,20.35,36.5,1.49,0,22.44,9.45,3.07,0,2.61,9.66,0,1098.04,2.55,16.61,148.45,228.82,2.39,0,12.08,0,2.33,0,0,18.26,0,0,42.12,2.25,0,11.69,0
 72-82,0,0,0.54,0,15.88,0,0,130.78,0,1.72,30.58,50.77,3.07,0,38.54,0.52,0,0,0.79,8.08,0,900.04,1.59,2.21,165.14,168.21,3.35,0,23.93,0,10.57,0,0,1.43,0,0,14.23,12.39,0.93,12.66,0
 84-94,0,0,0,0,13.63,0,0,137.55,0,0,35.1,61.68,1.27,0,28.82,0.56,0,0,0.58,18.23,0,816.64,0,15.59,117.98,187.48,3.81,0,39.44,0,0.6,3.46,0,3.26,0,0,14.57,13.24,0,14.45,0
 96-106,0,0,0,0,18.09,0.73,0,75.41,1.64,0.69,28.65,83.71,0,0,14.71,2.23,0.56,1.84,4.37,5.52,1.3,597.66,0,23.03,116.69,149.41,16.79,0,27.63,0,5.78,5.96,0,5.64,0,0,13.89,8.13,2.89,22.87,0
108-118,0,0,0,0,25.98,1.94,0,41.97,0,0.81,52.03,63.95,3.92,0,5.87,0.57,0.61,4.45,0.79,18.53,0.58,731.77,0,4.94,72.66,161.75,39.21,0,14.2,0,3.46,3.84,0,11.57,0.52,0,4.82,2.8,0,10.28,0
120,0,0,0,0,26.5,0,1.6,66.89,0,0,51.42,29.51,2.67,0,3.7,5.22,0,0,1.34,54.84,0,909.18,0,2.76,69.42,223.15,76.09,0,42.92,0,8.01,0,0,6.13,0,0,4.72,18.09,0,17.89,0
