stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,34.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.6,157.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.81,0,5.19,0,0,0,16.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.31,0,0,0,28.79,0,0,0,0,0,0,0,0
 10-12,0,10.01,24.89,0,0,0,21.88,0,0,0,0,0,15.93,0,0,0,0,0,0,0,0,0,0,290.32,0,0,0,44.15,3.3,26.37,0,0,0,0,0,0
 14-21,0,0,0,354.77,1.4,0,0,0,2.75,0,0,0,0,0,18.22,0,0,6.66,0,0,0.83,0,0.93,6.87,0,0,0,0,0,0,1.77,0,0,0,0,0
 24-34,0,0,0,316.76,1.86,0,0,0,37.02,0,2.92,0,0,2.96,41.71,0,0,0,0,0,4.74,0,0,28.12,0,1.74,0,0,0,0,0,0.68,2.3,0,0,2.92
 36-46,0,0,0,169.62,0,0,14.67,0,41.49,0,0,0.59,0,0,46.18,0,0,0,0,2.82,0.6,0,0,23.29,0,2.39,0,0,0,0,0,0,4.3,0,0,1.78
 48-58,0,0,0,139.57,0,0,3.92,0,64.28,0.44,0,1.98,0,0,49.27,0,0,3.8,0.59,2.58,0.91,0,0,21,0,2.26,0,0,0,0,0,0,3.64,0,0,0
 60-70,0,0,0,165,0.61,0,9.15,0,49.95,0,8.15,0.72,0,0,77.73,0,0,0,0,8.83,0,0,0,9.15,0,1.33,0,0,0,0,0,0,2.39,0,0,1.78
 72-82,0,0,0,84.98,0,0,5.34,0.72,17.71,0,9.99,3.24,0,0,78.27,0.52,0,0,0,0.99,0,0,0.69,23.38,0,0,4.42,0,4.69,0,0,0,0,0,0,2.12
 84-94,0,0,0.78,250.15,5.47,0,0,0,77.83,0,0,7.43,0,0,133.09,1.28,0,0.57,0,0,1.71,0.73,0,7.12,0,0,0,0,1.53,1.45,0,0,2.69,3.21,0,4.39
 96-106,0,0,0,169.39,0,0,0,0,43.97,0,0,3.3,0,0,156.14,0.56,0,2.44,0.98,1.8,0,0,0,16.26,0,4.86,0,0,11.37,0,0,0,0,1.01,0,6.26
108-118,0,0,0.54,267.43,4.99,0.72,11.41,0,87.84,0.73,5.56,7.93,0,0,116.52,2,0,0.84,2.29,7.36,3.56,0,0.79,17.05,0,2.97,1.25,0,0.47,0,0,0,0,2.12,0,2.84
120,0,0,0,262.9,4.27,0,0,0,83.82,2.63,0,7.41,0,0,273.36,0,1.15,0,0,6.43,4.01,0,2.58,25.11,3.25,1.7,0,0,27.22,0,0,0,0,0,6.25,10.17
