stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature
  3-4,76.15,423.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.11,0,0,0,0,0
  5-6,47.34,154.25,0,0,0,0,0,0,0,0,0,26.83,0,0,0,0,0,0,0,0,0,0,60.15,0,0,0,0,991.11,0,0,0,0,0
  7-9,21.01,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.14,14.62,0,0,52.45,508.95,0,0,0,0,0
 10-12,0,9.21,0,14.31,0,0,0,9.83,0,0,0,8.08,0,0,0,0,0,0,0,0,0,0,85.5,0,0,0,30.77,173.9,0,0,0,0,0
 14-21,0,0,0,0,1.81,0,0,0,0,0,0,39.92,0,0,46.59,0,0,0,1.56,5.06,0,1.25,17.21,0,0,0,0,476.45,0,0,4.55,0,0
 24-34,0,0,0,0,8.67,0,0,0.81,5.82,0,0,131.84,0,0,212.68,0,0.79,0,3.31,45.79,0,1.77,336.71,0,1.81,0,0,244.29,19.7,0,6.6,0,0.64
 36-46,0,0,0,0,3.73,0,0,2.36,0,0,0,54.16,0,1.92,76.81,0,0,0,1.89,34.29,0,0.97,514.76,0,0,0,0,121.14,5.48,0,6.97,0,0.93
 48-58,0,0,0,0,5.63,0,0,4.5,0.84,6.6,0,111.24,0,0,43.62,0,0,4.43,1.56,38.02,0,0,268.58,0,0,0,0,96.69,9.19,0,4.61,0,0
 60-70,0,0,0,0,13.05,0,0,2.05,4.53,0,1.28,49.38,0,0,41.22,0,10.2,0,5.65,12.51,0,0,93.68,0,1.42,0,0,108.67,1.26,0,3.13,2.82,0.93
 72-82,0,0,0,0,3.27,0.83,0,1.94,2,0.7,12.27,11.85,0,0,62.85,0,0,0,6.36,28.11,2.46,0.89,123.11,0,0,0.56,0,80.8,0,0,0,43.78,1.79
 84-94,0,0,0,0,14.41,0,0,5.95,10.09,0,7.7,24.25,2.41,0,61.92,0,1.88,0,1.61,30.71,0,0.86,235.32,0,3.8,0,0,184.96,0,0,0,62.65,0
 96-106,0,0,2.86,0,24.55,6.98,0,11.99,11.96,2.54,43.79,1.32,0,0.6,158.34,0,11.07,9.1,6.36,73.35,0.66,0,118.29,0,13.88,0,0,290.59,3.15,0,0,213.95,2.17
108-118,0,0,3.54,0,19.32,1.39,0.65,2.28,18.94,1.04,56.71,0,0,0.78,115.67,2.52,2.78,6,4.21,30.82,0,0.42,86.89,0,4.21,0,0,162.52,0.75,0.43,0,169.82,1.49
120,0,0,0,0,13.2,0,0,17.69,7.81,0,54.06,0,0,0,92.87,0,3.49,0,3.41,30.18,0,0,40.48,0,1.5,0,0,158.32,0,0,0,72.57,0
