stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,25.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.32,0,0,0,14.98,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.93,0,0,4.65,0,0,0,0,0,0,0,0,0,0,0,58.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,25.04,0.81,0,0,0,0,0,0.84,1.08,0.93,2.95,0,0,0,0
 24-34,0,0,1.06,0,1.77,0,0.74,7.52,0,0,0,0,0,0,0.66,3.63,64.14,0,2.07,0,0,0,1.99,0,0,0,25.93,0,0.74,0,0
 36-46,0,0,9.16,0.67,4.69,0,0,7.23,0,0,0,0,0,0,0.82,1.64,91.61,0,2.7,0,0,0,0,0,0,0,31.2,0,0,0,0
 48-58,0,0,0,0,16.57,0,0,5.79,0,0,0,0.59,0,0.5,1.82,0.56,151.78,0,1.2,0,0,0,0,0,0,0,31.08,0,0,0,0
 60-70,0,0,8.24,1.13,85.55,1.77,0,16.77,0,0,0,0,0,0,3.24,0.65,193.4,0,0.84,1.58,0,0,0,0,0,0,27.37,0,0,0,0
 72-82,0,0,5.62,24.45,122.61,0,0,19.77,1.45,0,1.38,0,0,0,6.2,0.72,207.12,0,4.45,0,0,1.1,1.59,0,0,0,26.99,0,0,0.76,0
 84-94,0,0,1.3,14.02,97.21,0,0,6.74,0,0,1.98,0,0,0,4.01,0,121.36,0,10.54,0,0,0,5.79,0,0,0,11.82,0,0,0,1.89
 96-106,0,0,6.34,50.76,113.67,0,0,23.06,0,0.58,0.57,0,6.97,3.66,6.12,0,162.39,0,7.2,0,0,0,2.74,0,0,0,24.82,0.83,0.88,0,0
108-118,0,0,0.83,11.83,180.81,0,0,10.71,0,0,0,1.51,0,0.91,7.89,0,196.77,0.47,0.46,2.64,0,0,0,0,0,0,14,0.6,0,0,0
120,0,0,15.1,18.28,185.48,0,0,29.31,0,0,0,0,0,1.64,5.11,0,288.49,0,11.29,16.99,0,0,0,0,0,0,0,0,0,0,0
