stage,endoderm,eye,glial,immune,lateral.line,liver,mesenchyme,mucous,neural,olfactory,periderm,visceral.smooth.muscle
 14-21,0,0,0,0.82,0,0,0,0,0,0,0,0
 24-34,0,0,0,3.05,0,0,0,0,0,0,0,0
 36-46,0,0,0,17.79,0,0,0,0,0.62,0.6,0,0
 48-58,0,0,0,14.35,0,0,0,0.37,0.76,0,0,0
 60-70,0,0,0,33.26,0,0,4.83,0,0,0,0,0
 72-82,0,2.69,1.53,59.79,0,0,0.55,0,3.64,0,0,0
 84-94,0,0,0,33.86,0,0.82,1.77,0,0,0,0,0.89
 96-106,0,0,0,55.07,0.82,0,0.96,0,0,0,1.5,0
108-118,0.58,0,0,62.41,0,0.84,0.82,0,4.48,0,0,2.55
120,0,0,0,35.17,1.13,0,0,0,4.82,0,1.55,0
