stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,11.6,60.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.47,0,16.36,0,0,46.16,0,0,0,0,0,0,0,0,0,0,0,0,222.62,5.53,0,0,128.01,3.26,0,0,0
 10-12,0,0,24.23,0,4.74,27.17,0,0,0,0,0,0,5.32,0,0,0,0,0,253.89,0,0,0,49.01,0,0,0,0
 14-21,0,0,0,3.34,0,0,0,0,0,0,0.86,0,1.15,0,0.84,0,0,0,4.01,0,0,0,0,0,4.21,0,0
 24-34,0,0,0,0,0,0.73,0,0,0.63,0,0,0,0,0,5.83,0,0,1.44,9.21,0,0,0.7,0,1.74,5.94,0,0
 36-46,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0.7,1.42,0,0,1.59,14.56,0,0,0,0,11.48,3.37,0,0
 48-58,0,0,0,0.4,0,1.55,0,0,1.6,0,0,0,0,0,5.61,0,0,0,8.95,0,0,0,0,3.07,1.89,0,0
 60-70,0,0,2.79,0,0,6.13,0,0,3.58,0,0,0,0,0,15.35,0,0,0,9.22,0,0,0,0,8.67,5.23,0,2.08
 72-82,0,0,0,0,0,9.6,0,0,11.11,0,0,1.05,0,0,7.79,0,0,1.17,13,0,0,0,0,1.7,0,0.63,0
 84-94,0,0,0,0,0,0.99,0,1.47,2.15,0,0,0,0,0,2.2,0,1.17,0,6.89,0,0,0,0,6.44,0,0,0.64
 96-106,0,0,0,0.75,0,7.69,0,0,2.63,0,0,0,0,0,4.53,0,0,0,2.63,0,5.72,0,0,9.68,0,0,0
108-118,0,0,0,0,0,3.33,0.7,0,1.5,1.03,0,0,0,0,8.29,0.71,0,0.45,4.53,0,0,0,0,2.96,0,0,0
120,0,0,0,1.43,0,6.25,0,0,16.84,0,0,0,0,0,9.46,0,0,0,5.46,4.62,0,0,0,2.93,0,0,0
