stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,ionocyte,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,43.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,12.84,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.47,0,0,0,0,0,0,0,0,0,16.17,0,0,4.56,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,0,0,0,0,0,0,0.9,0,2.91,0,1.24,0,0,3.99,0,0,1.62,2.55,0,0
 24-34,0,0.62,0,9.45,0,0,0.64,0,1.95,1.46,0,5.31,0,0,0,0,0,0,2.99,2.35,2.45,0,0
 36-46,0,0,0,28.14,0,0,0,0,0,0.65,0,7.69,0,0,0,0,0,0,0,0,0,0.75,0
 48-58,0,0,0,5.37,0,0.5,0,0,0,2.91,0.59,8.68,0,0,0,0,0,0,0,0,0,0.5,0
 60-70,0,0,0,18.29,0,1.48,3.9,0,0,0,0,6.59,0,0,0,1.45,0,0,0,0,1.52,0,0.91
 72-82,0,0,1.23,4.94,1.11,0,0,0,0,1.95,0,10.3,0.54,0,0,0,0,0,0,0,0,0.86,0
 84-94,0,0,2.11,8.45,0,0,0,0.57,0,1.56,0,3.78,0,1.14,0,0.89,0,0,0,0,0,0,0
 96-106,0,0,0,1.96,0,0,3.95,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0
108-118,0,0,1.6,2.72,0,0,0,0,0,0.56,0.53,2.53,0,0,0,3.39,0,0.54,0,0,0,0,0
120,0,0,0,22.69,0,0,15.76,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0
