stage,axial,blastomeres,epidermis,eye,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  3-4,0,22.35,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,57.97,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.56,17.15,0,0,99.74,4.61,57.61,0,0
 10-12,0,21.01,0,9.2,0,0,0,63.71,0,40.18,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.92,0
 24-34,0,0,0,0,0,0,0,1.48,0,0,0,0
 36-46,0,0,0,0,0,2.55,0,1.53,0,0,0,0.73
 48-58,0,0,0,0.38,0,0,0,1.74,0,0,0,0.42
 60-70,0,0,0,0,0,0.84,0,3.74,0,0,0,0
 72-82,0,0,0,0.87,0,0.71,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.63,0,0,0,0,0,0
108-118,0,0,1.14,0,0,0,1.07,0,0,0,0,0
