stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.66,405.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,596.87,0,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,18.33,14.47,0,0,0,32.31,0,0,0,0,0,0,0,0,0
  7-9,4.29,22.32,0,25.79,0,0,40.86,0,0,0,0,0,3.51,0,0,0,0,0,0,0,0,257.44,4.1,0,0,109.93,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,30.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.53,11.81,0,0,163.35,0,6.56,0,33.54,0,0,0,0,0,0
 14-21,0,0,0,3.58,7.11,0,1.7,0,0,0,0,0,0,0,0,0,0,0,3.65,0,4.92,73.34,1.96,0,2.93,1.28,3.62,0,12.06,1.05,2.48,21.75,0,4.7,0,0
 24-34,0,0,0,0,2.89,0,17.69,0,0,0,0.86,1.93,0,0,0,3.8,0,0,9.23,0,2.33,206.11,0,1.87,1.62,0,7.61,0,0,0,0.74,46.08,0,0,0,0.89
 36-46,0,0,0,0,13.44,0,20.85,1.75,0,1.69,18.84,0,0,1.2,0,0,0,0,15.5,0.89,1.66,133.76,0,0,8.21,0,4.29,0,0,0,0,32.39,0,3.98,0,0
 48-58,0,0,0,0,1.26,0,48.1,0,0,0.86,13.42,0,0,0,0,0.38,7.98,0,21.16,0,2.71,114.64,0.39,3.44,0,0,1.5,0,0,0,0,24.05,0,0,0,0
 60-70,0,0,0,0,0.57,0,53.38,0,0,0.98,6.56,0,0,0,0,0,1.62,0,13.68,1.09,0,100.12,0,0,0,0,6.71,0,0,0.58,0,20.82,0,0,0,0
 72-82,0,0,0.61,0,6.11,0,54.2,0,3.26,1.09,11.95,0,0,3.14,0.61,0,0,0.69,34.79,2.06,1.48,85.91,0,4.39,3.62,0,2.83,0,0,0,0,9.95,0,3.91,1.6,0.99
 84-94,0,0,1.46,0,7.88,0,39.3,0,0,4.67,13.65,0,0,0,1.96,0,0,1.43,16.2,0.85,0,58.3,0,0,1.31,0,8.46,0,0,0.8,0,18.01,1.01,11.91,0,0
 96-106,0,0,3.54,0,2.48,1.06,28.34,0,0.9,0,4.58,0,0,1.61,1.44,0,1.9,0.59,32.75,0,0.66,67.09,0,3.9,3.41,0,3,0,0,0,0,5.2,0,4.57,0,0
108-118,0,0,0,0,2.46,0,21.34,0,0,0,14.02,0,0,0,1.03,0.46,0.59,1.15,15.15,1,2.1,65.93,0,0,1.97,0,3.68,0,0,0,0,3.61,1.68,0,0,3.1
120,0,0,0,0,3.39,0,6.11,0,0,0,19.88,0,0,0,0,0,0,0,27.56,0,4.89,110.43,0,0,0,0,2.96,0,0,0,0,5.59,1.84,0,0,0
