stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.03,19.29,6.05,6.34,0,0.82,0,10.64,0,0,0,1.15,0,0,0,0,13.75,0,0,15.45,226.33,6.17,5.7,0,3.57,0,8.68,31.86,2.08,1.46,14.42,72.67,0,0,2.68,0,0
 24-34,0,0,8.46,0,19.97,0,0,0,5.75,0,0,0.6,1.01,0,0,0,0,17.62,0,0,8.56,224.58,3.33,15.7,0.77,0,0,6.69,0,1.53,0,2.53,37.41,0,0,11.84,0,0
 36-46,0,0,7.12,1.38,33.09,0,2.73,0.72,0.69,0.66,1.67,1.29,2.43,0,1.96,1.56,0,22.45,0,0.56,8.95,179.93,3.98,5.18,0,0,0,16.78,0,1.51,0,0,27.62,0,0,0.73,0,0
 48-58,0,0,2.72,0,41.26,0,0,3.33,9.28,0,0,2.3,0,0,0,0,0,44.67,0,1.43,7.98,173.95,6.52,1.35,1.14,0,0,3.93,0.92,3.04,0,0,20.8,0,0.42,5.19,0,0.4
 60-70,0,0,10.6,0.68,39.32,0.89,1.49,0.64,8.9,0,0,7.61,7.11,0,0.79,0,6.38,51.16,0,0,4.44,179.54,0.61,3.82,0.82,0,0,15.86,0,0.58,0,0,25.9,0,0,0.72,0,0
 72-82,0,0,5.09,0,70.14,0,2.19,2.59,17.08,0.56,0.74,7.88,0.61,0,1.39,0,0,71.73,0,2.17,13.16,247.34,0.67,8.86,3.44,0,2.5,7.45,0,0,0,0,37.19,1.34,3.08,12.46,0,0
 84-94,0.66,0,6.35,0,21.77,0,1.41,0,6,0,0.79,6.83,0,0,0.66,0,0,62.74,0,1.26,13.5,114.86,1.8,5.91,9.39,0,0,16.96,0,0,0,0,5.47,0,3.28,3.46,2.66,6.26
 96-106,0,0,6.74,0,51.78,0,2.31,5.71,23.48,0.57,2.7,11.01,0.84,0,1.95,0,0,69.24,4.88,2.54,9.42,87.62,1.41,15.07,5.64,0,0,15.16,0,1.74,0,0,13.2,0.59,2.1,11.45,2.32,1.44
108-118,0.57,0.49,10.77,0.93,49.05,0.64,2.48,0,27.43,0.53,5.35,4.04,1.27,0.42,0,0,0.44,50.05,1.09,0,10.98,183.65,2.18,1.51,5.75,0,1.37,13.58,0,1.47,0,0,4.62,2.39,0.9,4.82,2.15,0
120,0,0,24.04,3.68,57.59,0,3.52,6.63,53.94,0,0,17.5,0,0,1.13,0,0,64.1,0,8.17,21.84,240.87,14.88,5.35,4.59,0,37.04,14.39,1.12,0,0,0,7.63,0,0,4.74,0,0
