stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,51.32,285.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0,0
  5-6,7.63,261.14,0,0,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,63.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.96,0,0,0,25.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.13,0,23.76,0,8.32,0,448.36,0,0,0,0,0,6.38,0,0,0,0,0,21.26,0,0,0,0,0,2422.86,37.91,0,0,73.51,0,23.84,0,7.73,0,0,0,0,0,0,0
 14-21,0,0,0,0.94,17.65,1.03,0,655.61,0,0,0,0,0,0,0,0,0,0,0,0,0.94,3.89,0,0,3.38,371.48,2.81,0,0,0,3.07,0.91,2.47,0.85,9.45,8.99,6.31,0,0,0,0
 24-34,0,0,0,0.6,8.1,3.35,0,581.73,9.47,0,0,0.7,0.67,0,2.9,0,0,0,0,0.61,0,8.01,0,0,8.34,209.01,0,1.71,0.68,0,8.91,0,0,0,0.71,1.61,7.65,0,0,3.72,0
 36-46,0,0,0.95,0,3.87,0,0,1076.92,19.16,5.09,3.07,1.8,0,0,2.45,0,0,0,0,0,0,10.96,0,0.74,3.08,295.13,6.65,0,0,0,42.06,0,0,0,19.96,0,26.14,0,0,3.31,7.34
 48-58,0,0,0,0,6.28,0,0,415.93,16.82,0,0,10.2,0,0,0,0,0,0,0.56,0,0,12.62,0,0,0.4,119,0.42,0,0,0,14.19,0,0,0,0,0,7.86,0,0,0.62,2.23
 60-70,0,0,0.57,0,1.73,0,0,634.71,2.65,2.05,0,46.63,0,0,0,0,0,1.79,0,0,0,26.52,2.68,3.46,3.72,73.37,0,0,0,0,19.91,0,0,0,2.91,0,7.81,0,0,0.66,0
 72-82,0,0,0,0,3.37,0.51,0,299.53,1.95,0.93,1.87,62.62,0.49,0,0.53,0,0,0,2.78,0,0,30.77,0,0.93,3.45,47.28,0,0,3.09,0,3.72,0,0,0,0,0,0,0,0,4.93,1.17
 84-94,0.62,0,0,0,18.57,0,0,333.27,2.67,1.15,1.26,43.1,5.07,0,0,0,0.61,0,2.13,0,0,19.48,0.71,0.93,1.94,34.1,0,0,0,0,6.25,0,0,0,0.66,0,3.9,0,0,2.57,1.41
 96-106,0,0,0,0,4.58,0,1.86,209.39,9.6,0.62,4.87,30.75,0.76,0,0.61,0,0,1.66,1.31,0,0,58.27,0,8.73,1.21,27.43,0.75,0.57,3.36,0,6.06,0,0,0,1.8,0,4.43,2.7,0.72,2.37,0
108-118,0,0,0,0,15.64,0,5.74,243.48,8.89,4.08,1.96,69.1,0,0,0,0.47,5.99,4.11,1.02,0.75,4.19,50.06,0,0.45,7.13,34.81,0.89,0.46,6.56,0,4.37,0,0,0,1.2,0,0,0,0,1.83,6.57
120,0,0,0,0,4.4,0,7.1,114.41,7.05,3.01,0,65.65,0,0,0,0,0,1.91,0,5.04,0,46.36,0,0,0,66.24,2.33,0,3.16,0,0,0,0,0,0,0,0,0,0,1.15,0
