stage,blastomeres,erythrocytes,eye,glial,immune,iridophores,mesenchyme,muscle,neural,pericytes,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,10.68,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.89,0,1.35,0.84,0,0,0
 24-34,0,0.81,0,0,0,0,0,0.73,6.01,0,0,0,2.77,0,0.72
 36-46,0,0,0.77,1.62,0,1.11,4.36,0,7.13,0,0,0,0,0,0
 48-58,0,0,0.77,0.53,0,0,0,0,3.52,0,0,0,1.16,0,3.95
 60-70,0,0,1.19,0,0,0,1.65,0,4.6,0,0,0,0,0,0.91
 72-82,0,0,0,2.19,0,1.91,3.32,0,0,1.06,0,0,0,0,23.81
 84-94,0,0,0.91,0,0,2.05,6.17,0,1.09,0,0,0,0,0,28.46
 96-106,0,0,0,0,0,2.43,0,0,0,0,0,0,0,1.88,35.3
108-118,0,0,0,0,0.53,15.47,6.06,0,0,1.28,0,0,0,0,49.18
120,0,0,0,0,0,14.38,4.53,0,0,0,0,0,0,0,12.91
