stage,gut,neural,somites,spinal_cord
 24-34,0,0,0.78,0
 36-46,0,3.52,0,0
 48-58,0,0.7,0,0
 84-94,0,0,0,1.14
108-118,3.27,0,0,0
120,1.09,6.39,0,0
