stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,20.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,11.59,0,0,0,0,0,0,5.97,0,0,0,5.78,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.14,0,10.74,0,0,0
 14-21,0,0,0.89,0,0,0,0,0,0,0,0,0,1.08,0,0,3.25,0,0,0,0,0,3.26,0.87,6.12,0
 24-34,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,1.28,6.53,0,0,0,0,0.69,0,0,0,1.38
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0,1.35,50.65,0,0,0,0,0.93,0,0,0,0
 48-58,0,0,0,2.69,0,0,0,0,0,1.28,0,0,0.8,0,1.42,14.1,0,0,0,0,0,0,0,0,4.6
 60-70,0,0,0,9.07,0,0,0.6,4.04,0,0,0,0,7.8,0,0,13.56,0,1.44,1.01,0,0.88,0,0,0,4.2
 72-82,0,0,0,8.18,0,0,3.24,0,0,0,0,0,0,0,0,24.4,1.15,2.15,0,0,0,0,0,0,4.36
 84-94,0,0,0,4.79,0,0,3.57,0,0,0,0,0,1.68,0,2.18,13.1,0,0,0,0,4.48,0,0,0,0
 96-106,0,0,0,7.19,0,0,0,0,0,0,0,7.1,0.57,0,0,18.84,0,0,0,0,3.91,0,0,0,2.32
108-118,0,1.62,5.99,11.69,0.43,0.73,3.45,0.62,0,0,0,0,3.11,0.43,0,1.7,0,0,0,0,12.8,0,0,0,0
120,0,0,2.1,20.29,0,0,3.01,0,0,0,3.03,0,0,0,0,39.77,0,0,0,0,2.9,0,0,0,14.31
