stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,40.23,190.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.02,173.98,0,0,0,0,0,0,0,0,0,0,0,0,0,49.11,0,0,0,0,0,0,0,0,0
  7-9,7.85,6.26,0,3.99,0,0,0,7.01,0,0,0,22.48,0,0,0,95.19,0,0,23.08,0,0,0,0,0,0
 10-12,0,0,0,24.94,0,0,0,29.56,0,0,0,0,0,0,0,404.22,4.42,0,33.88,0,0,4.35,0,16.04,0
 14-21,0,0,21.17,0,0,3.61,0,2.58,0,1.75,0,0,0,1.07,0,38.76,0,0,0,0,0.87,0,0,85.12,0
 24-34,0,0,41.68,0,1.73,0,0,0,0,1.62,0,0,0.59,0,0,10.3,0,2.97,0,0,0,0,0,7.54,0
 36-46,0,0,95.1,0,0,0,0,1.13,0,0.86,0,0,0,0,0,14.36,0,4.74,0,0,0,0,0,3.48,0
 48-58,0,0,19.73,0,0.9,0,0,7.44,0,0,0,0,0,0.69,0,25.71,0,9.37,0,0,0,0,1.8,0.67,0
 60-70,0,0,0.57,0,0,0,0,0,0,2.8,0,0,0,0,0.59,17.81,0,22.9,0,2.83,0,0,0,0,0
 72-82,0,0,8.74,0,0,0,0,1.75,15.95,0,0,0,0,0.51,0,24.15,0,31.86,0,0,0,0,0,0,0
 84-94,0,0,5.07,0,0,0,0,12.46,0,0,0.63,0,0,0,0,34.68,0,11.57,0,0,0,0,0,0,1.56
 96-106,0,0,8.16,0,0.66,0,0,19.29,0,0,1.47,0,0,3.91,0,39.64,0,29.45,0,0,0,0,0,2.2,0
108-118,0,0,21.28,0,0,0,0.58,11.76,0,1.22,0,0,0,5.31,0,132.26,0,21.82,0,0,0,0,0,0,0
120,0,0,31.48,0,0,0,0,0,0,0,0,0,0,0,0,111.48,0,68.94,0,0,0,0,0,0,0
