stage,epidermis,glial,mesenchyme,spinal.cord
 36-46,0,0,0,0.92
 48-58,0,0.71,0,0.51
 72-82,0,0,0.95,0
 84-94,0,0,8.56,0
 96-106,0.6,0,0,0
