stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,13.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.03,0,3.12,0,0,0,0,0,0,0,0,2.29,0,0,0,0,0,0,7.16
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,261.9,0,26.93,0.84,0,0,0,13.29,0,0,0.75,0.79,0,0,2.27,0,0,0,4.54
 36-46,0,0,0,0,0,15.14,0,0,0,1.38,0,0,0,0,752.04,0,14.09,0,0,0,0,40.52,0,0,0,0.62,0,4.85,4.95,0,0,0,17.8
 48-58,0,0,9.66,0,0,128.72,0,0,0.7,4.01,0,0,0,0,1074.51,0,1.49,5.59,0,0,0,113.25,0.98,0,0.43,7.37,0,8.62,7.85,0,0,0,28.82
 60-70,0,0,7.1,0,0,455.42,0,3.31,0,4.68,0,0,0,0,1863.33,0,0,2.79,0,0,0,345.81,0,0,0,2.88,0,0,3.14,0,0,0,0
 72-82,0,0,0.99,1.33,0,563.47,1.52,0,0,48.69,0,0,0,0,1934.5,0,0.98,31.53,0.56,0,2.9,431.75,0,0,0.53,7.79,0,3.02,4.84,2.6,0.93,0.93,16.21
 84-94,0,0,8.68,5.26,0,344.99,0,0,0,36.34,0,0,0.71,1.03,3095.08,0,5.22,11.52,0,1.48,0.6,304.37,0,0,0,2.03,0,0,2.42,0,0,0.57,16.16
 96-106,0,1.08,2.65,0,0.63,328.88,1.31,0.59,0,40.74,0,0,0,0,2491.73,25.18,0,19.87,0,0,0,229.24,6.38,2.07,0,3.59,4.54,0,0,0,0,0,21.06
108-118,0,0,1,1.85,0.9,269.34,0,0,0,52.01,0,0,0,0,3952.9,2.8,0,21.07,0,0,1.98,252.6,0,0,0,6.89,0,0,0,0,1.16,0,29.16
120,0,0,0,0,0,203.15,0,0,0,7.08,0,0,0,0,2539.83,0,0,0,0,0,0,247.61,0,0,0,0,0,0,2.5,0,0,0,3.85
