stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,mesenchyme,muscle,neural,olfactory,otic,spinal.cord,vasculature
  3-4,0,12.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.37,0,0,0,0,0,0,0,0,3.82,0,0,14.03,0,0,0,0
 14-21,0,0,0.96,0,0,0,0,0,0,0,0,0,12.46,0,0,5.41,0
 24-34,0,0,0,1.28,0,0,0,0,0,0,0,0,78.58,0,0.77,15.65,0
 36-46,0,0,0,0,10.21,0,0,0,0,0,0,0,163.71,5.24,0,38.61,0
 48-58,0,0,0,0.82,30.97,1.02,0,16.33,0,0,0.87,0,239.25,1.25,0,44.39,0
 60-70,0,0,0,0,120.25,0,0,12.15,0,0,0,0,344.61,0.67,0,27.79,0
 72-82,0,0,0,0,106.07,0,0,20.76,0,0,0.82,0,256.66,1.09,0,19.66,0.71
 84-94,0,0,0,1.17,97.87,0,0,7.62,0,0,1.04,0.6,102.37,0,0,16.93,0
 96-106,0,0,0,0,59.11,0,0,14.76,0.92,0,0.62,0,108.9,0,0,9.26,0
108-118,0,0,0,1.98,34.15,0,0,1.18,0,0,3.07,0,137.34,0,0,1.58,0
120,0,0,0,1.69,68.26,0,1.21,14.18,0,0,0,0,295.1,7.9,0,1.7,0
