stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.9,2358.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.52,0,0,0,0,0,0,0,0,0,0
  5-6,89.87,951.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.09,0,0,0,8.03,0,76.19,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.27,0,0,0,15.16,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,66.15,0,0,0,24.2,0,6.94,12.44,0,0,0,0,0,0,0,0,0
 10-12,0,5.54,0,16.55,0,0,0,38.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538.01,8.08,0,0,48.86,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.93,1.03,12.54,4.66,0,7.29,0,0,0,18.08,0.97,0,3.1,0,0,0,0,0,0,9.59,0,0,0.86,254.36,5.49,5.62,1.88,1.85,0,1.52,0,10.44,5.39,1.2,213.77,0,0,0,0,0
 24-34,0,0,3.74,1.62,7.23,0,0,75.32,0,0,0,38.72,0,0.74,0,0,1.26,0,0.66,1.9,0,7.31,0.93,0,7.65,1794.06,0.63,18.77,17.06,0,0,7.66,0,5.72,0,0,492.33,0,0,0,0,0
 36-46,0,0,0,0.76,25.42,0,0,234.89,1.33,0,0,78.19,0,0,0.65,4.71,0,0,0.77,0,0,4.69,0.68,0,3.4,3394.78,0,31.02,7.62,0,0,1.71,0,6.4,0,0,664.78,0,0,0,0,0
 48-58,0,0,0,0,23.2,0,0,835.49,0,4.63,0,205.07,5.6,0,0,0,5.29,8.94,2.23,4.18,4.19,53.17,0.82,8.97,5.56,4103.2,0,21.7,13.71,0,0,3.88,0,6.9,0.4,0,669.32,0,0.44,3.94,0,1.87
 60-70,0,0,2.62,0,1.43,1.86,0,1237.65,0,6.33,1.83,299.08,2.86,0,0,2.66,5.28,0,1.57,0.87,0,34.2,4.99,7.03,17.24,5170.11,5.04,23.72,5.63,0,0,10.92,0,4.08,0,0,758.38,0,0.79,7.15,0,0
 72-82,0,0,4.21,0,30.9,15.38,0,1164.85,0,0,0,183.89,5.18,0,0,1.58,2.32,14.41,4.79,6.2,1.69,64.49,0,1.23,2.71,3604.85,0,33,10.72,0,0,4.42,0,2.6,0,0,384.92,5.05,0,7.16,3.74,15.69
 84-94,0,0,20.35,0,24.58,4.66,0,827.37,0,8.01,1.42,132.9,9.58,0,0,4.88,1.25,0,4.95,0,0,44.13,4.54,4.94,1.44,2538.38,0,35,26.32,0,0,3.24,0,3.02,0,0,272.1,2.12,0,6.97,0,3.39
 96-106,0,0,6.84,0,5.79,0,5.91,549.39,0,1.81,1.56,118.82,5.48,0,1.16,2.44,0,0,4.73,4.97,0,28.96,0,1.34,2.92,1506.22,0.58,34.92,15.8,0,0,8.79,0,1.64,0,0,131,0,1.22,3.69,0,0
108-118,0,0,9.4,0,16.62,9.41,0,540.33,1.07,0.96,3.82,176.59,6.28,0,0,4.35,2.59,2.67,4.13,0,0,27.51,3.89,5.63,0.9,2164.37,0,28.87,24.36,0,1.91,2.34,0,0.81,0,0,142.33,0.67,0,1.84,0,4.86
120,0,0,16.52,1.28,25.75,4.53,0,856.48,4.91,0,9.52,353.68,9.91,0,0,4.93,0,0,3.66,21.47,0,96.28,0,0,2.38,5326.92,0,57.91,36.65,0,3.68,4.03,0,1.83,0,0,245.44,1.37,1.54,1.31,0,0
