stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74,0,0,0,0,0
  5-6,44.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.95,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.61,0,8.61,26.35,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.19,0,13.02,7.53,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.86,0,0,0.99,0,0,136.22,0,0,0,0,0
 24-34,0,0,3.58,0,0,0,0,0,0,0,1.79,0,0,0,0.86,1.49,0.78,35.18,1.63,0,467.95,0,1.09,0,0,0
 36-46,0,0,0,0,0.85,0,0,0.78,1.45,0,0.71,0,0,0,4.7,1.93,0,11.55,1.67,0,388.58,0,2.07,0,0,0
 48-58,0,0,17.45,2.03,0.47,0,0,0.68,1.26,0.52,15.62,0,0,0,0.6,2.26,0,21.92,0,0,140.53,0,7.16,0,0,0
 60-70,0,0,2.12,0,1.24,0.86,0,0,1.21,0,0,0,0.73,4.62,0,0,0,14.1,0,0,151.37,0,0,0,0,0
 72-82,0,1.66,9.28,0,7.21,0,3.26,0.56,5.88,0,0.57,1.65,0,0,0.91,0,0,12.06,1.37,0,82.31,0,0,0,0.52,0
 84-94,0,3.34,5.22,0,3.35,1.14,0,5.04,11.21,0,0.59,0,0,0,0,0,0,8.78,3.75,0,203.49,1.29,0,0,0,0
 96-106,0,6.75,13.11,12.4,9.45,0,0,0,10.69,0.86,1,0,0,0,2.2,3.17,0,12.1,2.8,0,167.02,1.29,7.72,0,0,1.67
108-118,0,1.68,19.48,0,1.47,4.15,0.62,0,11.6,0,4.38,0,0,0,2.46,0.77,0,5.19,5.56,0,114.75,0,0,0.54,0,0
120,0,0,31.63,0,0,0,0,0,27.94,3.07,2.31,0,1.69,0,0,0,0,7.92,1.99,0,85.97,0,0,0,0,0
