stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,15.1,74.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.3,0,0,0,0,0,0,0,0,0
  5-6,19.7,349.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.68,0,0,0,0,0,286.1,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,11.57,0,0,0,3.38,0,0,0,0,0,22.19,0,0,0,0,0,0,0,0,0,0,0,275.09,6.03,0,0,51.74,0,21.34,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.58,0,0,0,19.33,0,0,0,4.44,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,0,3.88,0,1.84,0,0.87,0,0,0,0,0,0,0,0,0,0,0,2.44,0,0,0,28.86,0,0,1.78,0,0,13.4,0.97,0,1.08,1.84,19.1,0,0,4.33,0
 24-34,0,0,1.72,0,3.72,3.22,0,4.31,0,0.71,0,0.7,0,0,5.64,0,1.27,0,0.68,0,1.19,5.82,0,0,0.67,262.69,0,1.45,6.55,0,0,15.16,0,3.21,0,0,50.88,0,0,2.42,0
 36-46,0,0,0,0,0,0,0,42.67,0,0.59,0,2.04,0,0,1.84,0,0,0,0,0,0,9.22,0.72,0,2.25,546.1,0,0.93,2.44,0,0,6.48,0,0.58,0,0,57.26,0,0,3.45,0.57
 48-58,0,0,0,0,1.53,0,0,57.97,0,0,0.4,7.92,0,0,0.51,0,0,0,4.36,0,3.05,11.57,1.71,0,0.85,415.25,0.65,1.68,9.92,0,0,16.33,0,0,1.28,0,64.57,0,0,1.25,0
 60-70,0,0,0.57,0,3.76,0.6,0,175.18,0.69,7.02,0.67,11.28,4.03,0.63,0.78,0.98,0.93,1.94,5.51,0,0.93,18.08,0,1.14,0.63,396.09,0,0.74,12.17,0,2.4,17.74,0,0.73,0,0,64.67,2.13,0,12.19,4.89
 72-82,0,0,0,0,0.51,0.87,0,176.37,0,0,0.94,4.01,0.88,0,0,0,0,0,22.23,0,0,10.58,0,1.22,0,203.74,0,2.33,22.93,0,0,4.67,0,0.63,0,0,9.31,5.08,0,0.77,0
 84-94,0,0,0,0,1.26,0,0,228.3,0,0,0,1.49,5.79,0,1.45,2.68,2.58,0.67,6.59,2.07,0,20.88,2.26,0,0,227.87,0,1.88,19.9,0,0,15.06,0,0.94,0,0,10.59,19.47,0,1.01,0
 96-106,0,0,0,0,7.71,9.95,1.05,244.03,0,0,1.11,6.13,1.39,0,0,1.84,2.94,0,13.59,12.15,0,8.18,0,0,0,96.22,2.06,3.78,18.47,0,0,17.47,0,0,0,0,0,47.42,1.26,4.94,0
108-118,0,0,0,0,6.46,7.54,0.55,266.78,0.98,0,0,11.81,2.12,0,0,1.5,0.45,4.94,3.42,0,3.08,16.56,0,1.39,2.23,175.69,0,1.98,17.65,0,0,22.15,0,2.67,0,0,7,52.61,0,2.22,2.32
120,0,0,0,0,9.88,1.14,7.47,357.95,0,2,0,5.26,1.08,0,0,0,0,0,25.82,0,0,22.56,0,0,0,290.19,0,4.77,15.25,0,0,9.19,0,0,0,0,1.95,25.86,0,0,0
