stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,22.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,23.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,10.65,0,0,3.57,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,26.95,0,0,0,0,0,0,0,0,0,0,0,0,0,84.06,4.22,0,0,22.23,0,0,0,0,0,0,0
 14-21,0,0,0,8.23,1.81,2.85,0,0,3.29,1.58,0,0,0,0,0,0,5.65,0,3.8,77.68,1.85,0.89,1.28,3.18,0,11.7,0,10.72,34.15,0,0
 24-34,0,0,0,0.81,0,17.3,0,0,6.34,0,0,1.08,0,0,0,0,10.78,0,2.76,96.38,0,1.01,0.62,0,1.88,0,0.74,0.67,22.5,0,0
 36-46,0,0,0,0,0,13.12,0,0,2.39,0,0,0,0,0,0,0,9.31,0,0,107.57,0,0.87,0.65,0,0,0,0,0,26.48,0,0
 48-58,0,0,0,0.49,0,48.7,1.07,0.76,8.19,0,0.67,0,0,0,0,1.23,14.37,0,7.6,88.96,0,2.29,3.3,0,1.01,0,0,0,21.79,0.41,0
 60-70,0,0,0,0,0,59.74,0,0,2.05,0,0,0,0,0,0,0,16.19,0,0.71,87.33,0,0,0,0,0,0,0,0,18.75,0,0
 72-82,0,0,0,3.19,0,36.5,0,0.85,6.75,0,0,0,0,0,0,0,18.5,0.49,2.28,68.26,0,2.68,1.65,0,0.53,0,0,0,4.46,0.83,0.84
 84-94,0,0,0.7,0.86,0,18.93,0.6,1.89,7.12,0.66,0,0,0,1.02,0,0,8.48,2.13,1.3,44.91,0,0,0,0,2.78,0,0,0,12.04,0,0
 96-106,0,0,0,2.13,0,20.68,0,0,2.98,0.71,0.76,0,0,0,1.1,0,18.92,2.17,0,37.33,2.08,0,1.33,0,0.65,0,0,0,1.95,0,0
108-118,0,0,0,4.4,0,21.55,0.44,0,5.15,0,0,0,0.71,0.41,0,0.5,20.12,0.46,0,50.56,0,0,1.01,0,0,0,0,0,4.72,2.32,0
120,0,0,0,3.68,0,45.78,4.09,0,5.36,0,0,0,1.36,0,0,0,25.34,0,0,133.74,0,3.86,8.85,0,1.88,0,0,0,0,0,2.01
