stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,pronephros,somites,spinal.cord,taste,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,0,0,0,0,0,0
  7-9,0,0,0,5.62,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0
 10-12,0,0,4.44,0,0,0,0,0,0,0,0,0,0,0,14.72,0,0,0,0,0,0,0,0
 14-21,0,5.04,0,0,0,0,0,0,0,0,0,1.06,0,0.9,10.38,0,0,0,0,0.98,2.72,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.76,5.49,0,0,0,2.26,0,1.44,0,1.87
 36-46,0,0,0,4.74,0,0,1.15,0.65,0,0,0,0,0,1.27,5.48,0,0,0,0.56,0,2.26,0,0
 48-58,0,0.44,0,3.8,0,0,0,0,0,0,0,1.64,0,1.15,6.73,0,0,0.93,0,0,2.76,0,0
 60-70,0,2.53,0,6.17,0,0.84,0,0,1.65,3.59,0,3.81,0,2.69,9.87,0,0,2.04,0,0,0,0,0
 72-82,0,0,0,6.59,0,0,0.88,0,9.27,0,0,4.69,0,0,6.73,0,0.74,6.16,3.48,0,1.56,0,0
 84-94,1.01,0.63,0,12.81,2.14,0,3.93,1.59,0.8,1.29,0,3.25,0,0,3.56,0,0,40.98,0.64,0,0,1.04,0
 96-106,0.72,4.56,0,17.36,0,0,5.6,0,2.97,0,0,3.53,1.66,0,7.39,0,0,92.26,2.65,0,0,0,2.1
108-118,0.49,11.01,0,47,0,0,1.1,0.97,1.65,0,0.5,5.04,0.7,1.07,25.33,0,1.69,68.73,2.44,0,0,0,0
120,0,18.61,0,14.97,0,0,0,0,3.03,0,0,1.25,1.31,1.43,29.01,0,0,119.41,2.7,0,0,0,0
