stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,745.37,15861.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663.32,0,0,0,0,0,0,0,0,0,0
  5-6,337.38,3937.43,6.55,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,78,37.2,0,0,26.75,0,61.4,0,0,0,0,0,0,0,0,0,0
  7-9,15.45,29.43,21.01,0,0,16.73,0,0,0,0,0,16.81,0,0,0,0,0,0,0,465.11,12.51,0,0,112.32,0,0,95.45,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.91,0,0,9.82,0,0,0,0,0,0,0,0,0,0,0,0,0,121.62,0,0,0,62,0,0,24.42,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,2.4,0,0.99,0,0,0,0,0,0,0,0,0,0,3.79,0,0.97,18.78,0,1.08,0,1.67,0,0,0,3.31,0,3.05,3.62,0,0,0,0,0
 24-34,0,0,0,1.58,0,2.86,0,0,0,1.39,0,0,0,0,0,0,12.42,0,0.75,41.43,0,0,0.61,0,0,0.93,0,0,0,0,7.78,0,0,1.26,0,0
 36-46,0,0,0,0.84,0,8.11,0,0,0,0,0,0,0,0,0,0,11.23,0,2.01,43.64,0,0,0,0,0,5.69,0,0,0,0,8.53,0,0,1.65,0,0
 48-58,0,0,0,3.52,0,8.05,0.53,0.89,2.71,2.63,0,0,0,0,0,0,10.37,0,0,28.32,0,0,0,0,0.73,0,0,0,0,0,5.95,0,0.91,0,0,0
 60-70,0,0,0,5.18,0,0.6,0,0,0.68,3.76,0,0,0,0,0,1.11,12.96,0,5.81,18.18,0,0,0,0,1.21,0,0,0,0,0,3.15,0,0,0,0,0
 72-82,0,0,0,1.84,0,1.34,0,0,0,37.32,0.84,0,0,0.59,0.72,0,17.09,2.91,5.49,7.29,0,0,12.93,0,0,0,0,0,0,0,8.86,1.34,0,3.16,1.98,0
 84-94,0,0,0,1.64,2.12,11.86,0,0,0,25.49,0,0.64,0.6,0,0,0,12.1,2.45,3.16,15.21,0,0,0,0,0,0,0,0,0.56,0,2.49,0,0,0,0,0
 96-106,0,0,0,8.34,0,1.49,0,0,1.07,48.59,0,0,0,3.05,0,0,9.99,0.58,3.34,10.33,0,0,1.28,0,0,5.34,0,0,0,0,10.39,0,0,3.02,0,0
108-118,0,0,0,1.51,0,2.11,0,0,0.57,49.07,0,0,0,0,0,0,11.52,0,2.74,12.48,0,0,0.46,0,0,0,0,0,0,0,6.03,0,2.41,0.61,0,0.62
120,0,0,0,0,0,1.75,0,0,0,14.02,0,0,3.06,3.09,0,0,19.27,0,3.5,6.91,0,0,0,0,0,0,0,0,0,0,19.96,0,0,0,0,0
