stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,60.35,2010.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.07,582.81,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.68,0,0,0,0,0,9.07,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.05,0,9.53,0,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.11,0,0,0,14.96,0,0,20.24,0,0,0,0,0,0,0,0,0
 10-12,0,6.05,0,8.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.9,0,0,0,11.07,0,0,10.79,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,33.94,0.83,0,49.36,0,0.88,0,16.7,3.74,1.35,2.85,0,1.89,4.79,0.93,4.33,55.75,23.36,0,0,18.48,85.03,22.53,0,0.94,3.05,0,1.15,1.64,4.89,11.36,2.3,43.08,0,0,14.13,0,135.09
 24-34,0,0,0,1.47,25.72,0.81,0,168.91,0,3.59,1.23,18.45,0,0,14.71,3.65,4.8,29.04,0,0.71,251.53,68.74,0,0,36.48,251.89,14.34,0,2.12,0,0.99,5.64,0,0,13.77,2.12,74.32,0,0,36.3,0,624.93
 36-46,0,0,0,0,3.38,0,0,155.73,0.64,0,0,14.83,0,0,12.83,18.7,0,92.64,0,0.67,490.78,63.68,0,1.26,7.48,106.3,10.64,0,0,0,0,6.32,1.46,0,4.36,0,37.83,0,0.62,31.43,0,571.53
 48-58,0,0,0,0,4.99,0,0,104,0,3.98,2.7,17.32,0,0,4.57,15.44,0,232.13,0.53,0.48,453.2,39.82,0,3.64,3.46,78.75,0,0,1.85,0,3.8,0.42,0,0,2.82,0,27.19,0,0,17.37,0,904.96
 60-70,0,0,0.89,0,12.63,0,0,150.81,0,0,0.77,39.12,0,0,4.26,20.97,0,341.49,0.79,0,336.5,57.9,0,4.61,3.74,59.34,0,0,0.65,0,2.07,3.99,0,0,2.29,0,14.11,0,6.23,10.23,0.72,891.09
 72-82,0,0,0,0,1.68,0.51,0,121.32,0,0,0.68,49.16,1.27,0,2.13,25.59,2.61,455.42,2.35,4.3,207.55,70.57,0,20.45,5.9,61.86,0,0,1.64,0,2.3,7.09,0,0,4.23,0,12.78,1.58,5.75,28.02,3.91,920.15
 84-94,0,0,0,0,16.24,1.13,0,231.52,0,7.01,0,47.06,8.89,0,3.58,47.89,3.38,587.82,0,2.07,334.31,64.57,1.73,4.44,4.04,37.11,0,0,2.11,0,2.19,5.5,0,0,10.29,0,24.8,0,1.96,36.44,5.29,621.57
 96-106,0,0,0,0,7.87,10.7,1.14,155.43,0,0.64,2.18,46.41,6.76,0,1.33,45.23,5.16,613.25,0,11.69,200.19,78.72,0,7.78,7.18,56.02,4.25,1.53,5.41,0,6.76,13.39,0,0,5.82,0,40,0,1.5,52.42,3.77,661.89
108-118,0,0,0,0,17.72,0.42,0,179.3,0.64,5.09,3.68,41.62,7.13,0,0.83,48.05,12.1,1076.74,0,17.93,257.37,97.7,0,20.79,3.69,58.86,0,0.93,6.42,0,10.33,21.1,0,0,8.14,0,11.44,0,3.5,31.04,2.48,702.91
120,0,0,0,0,53.09,0,0,83.44,0,11.91,0,44.14,11.63,0,0,68.49,6.4,595.24,0,12.33,117.79,107.82,0,4.64,0,47.6,0,0,0,0,20.43,23.42,0,0,8.29,0,12.58,0,0,34.26,0,235.78
