stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,177.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0
  5-6,0,34.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.69,0,5.12,0,0,15.57,0,0,0,0,0,0,0,0,0,43.63,0,0,15.41,0,0,0,0,0,0
 10-12,0,24.79,0,0,0,0,0,0,0,0,0,0,0,0,0,88.66,0,0,24.52,0,0,0,0,0,0
 14-21,0,0,0,0.84,0,1.74,1.06,0,0,0,0,0,0.92,0,0.92,16,0,0,1.56,0,3.58,7.74,1.23,0,0
 24-34,0,0,0,0.8,0,3.76,1.89,1.4,0,1.02,0.74,0,4.12,0,3.22,45.86,0,0,0,0,0,14.99,0,0,0
 36-46,0,0,0,0,0,8.47,2.32,0,0,0,0,0.7,3.47,0,0,43.36,0,0.7,0,0,0,5,0,0,0
 48-58,0,0,0,0,0,22.53,4.93,0,0,0,0,0.56,5.27,1.17,0.61,30.18,0.65,0,0,0,0,8.61,0.38,0,0
 60-70,0,0,0,0,0,13.39,3.64,0,1.75,0,0,0,6.27,0,0,30.23,0,0,0,0,0,4.7,0,0,0
 72-82,0,0,0,1.32,1.75,9.68,5.87,0,0,0,0,0,2.67,0,0,30.52,0,0,0,0,0,0.84,0,0,0
 84-94,0,0,0,0,0,16.85,2.88,0,0,0,0,0,1.08,0,0,10.5,0,0,0,0,0,0,0,0,3.77
 96-106,0,0,0,0,0,15.08,1.36,0,0,0,0.77,0,3.59,0,0,9.16,0,1.28,0,0,0,1.71,0,0.85,0
108-118,0,0,0,0.84,0,4.82,7.79,0,0,0,0,0,3.07,0,0,17.97,0,0,0,0,0,0,4.46,0,0
120,0,0,0,0,0,5.53,0,0,0,0,0,0,0,0,0,7.13,0,0,0,0,0,0,0,0,0
