stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.89,297.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.58,5.93,0,0,13.74,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.85,2.67,2.13,2.07,0,0,0,0,2.23,0,0,0,0,0,0,0,0,2.93,0,0,0,21.22,0,3.47,0,0,0,2.46,0,0,0.89,8.9,0,0,1.64,0,0
 24-34,0,0,0,0.61,1.93,0.95,4.42,0,0,0,2.68,0,0,0,2.15,1.41,0,0.61,0.66,4,3.04,0,0,0,143.61,0,12.92,1.16,0,0,7.2,2.79,0,0.64,57.69,0,0,0,0,1.66
 36-46,0,0,0,0,1.07,0,20.73,0,0,0,3.14,0,0,0.57,3.74,1.63,0,0,0,14.97,1.26,7.06,0,0.63,287.01,0,5.02,1.46,0,0,2.72,0,0,0,88.31,0,0,7.21,0,0.97
 48-58,0,0,0,0,0,0,75.93,0,0,0,14.86,0,0,0.44,16.25,0,0,0,0,4.31,5.67,0.97,0,0.62,350.1,0,2.08,5.01,0,0,1.82,0,0,0,54.03,0,0,0,0,3.13
 60-70,0,0,0,0,0.87,0.59,379.89,0,0,0,8.23,1.23,2.43,1.38,15.34,0,0.59,0,0,1.56,6.86,0,0,0,500.66,0,11.68,1.05,0,0,7.3,0,3.45,0,62.04,0,0,5.41,0,0
 72-82,0,0,1.48,0,4.19,5.88,687.93,0,0,7.48,18.86,0.85,0,0,27.25,0,5.98,0.99,10.62,2.83,22.17,0.6,2.98,0,564.45,0,7.38,3.39,0,2.79,2.07,0,0,0,50.89,0,0.76,5.08,0,6.09
 84-94,0,0,0.73,0,5.04,0.67,555.42,0,0,3.75,22.98,1.53,0,0,30.64,1.07,1.88,0,4.97,16.13,18.15,1.73,0,0.84,385.28,2.33,1.11,2.63,0,0,7.29,0,0,0,47.25,0,2,0,2.1,0
 96-106,0,0,0,0,10.89,5.98,754.66,1.98,0.56,0,16.02,1.71,0,0,34.65,0.73,0,1.08,3.19,6.96,17.91,0,0,0,423.61,0,14.11,3.18,0,0,13.56,0,0,0,56.12,0,0,6.78,0,0
108-118,0,0,0,0,8.7,3.57,569.73,0,0.69,0,15.34,3.3,0,1.76,24.68,0,2.31,0.45,0.43,4.17,16.98,0,0.63,2.29,456.01,0,8.69,8.83,0,0,3.84,0,0,0,10.96,1.35,0,7.53,0,1.44
120,0,0,0,0,6.87,0,326.76,0,1.09,0,40.68,16.93,0,0,72.87,2.19,0,1.48,0,0,12.48,0,15.89,0,673.95,0,18.82,6.7,0,0,4.57,0,0,0,29.39,0,0,17.09,0,0
