stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.66,68.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.97,55.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.81,0,5.7,0,0,11.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95,0,0,0,5.48,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.41,0,0,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.49,20.63,0,0,5.13,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,26.75,0,0,0,0,0,0,1.77,0,0,0,0,0,0,9.58,0,0,4.16,26.89,0,0,0,3.96,0,2.77,1.82,2.72,10.18,0,0,1.25,0,0
 24-34,0,0,0,0,6.28,0,2.27,0,0,0,0.63,0,1.06,0,0,0,0,0,12.42,0,0.81,4.92,177.97,0,1.01,0,0,0,0.61,0,0.99,57.31,0,0,7.9,0,0
 36-46,0,0,0,0,1.36,0,3.58,0,0,0,2.15,0,0,0,0,3.61,0,0,13.58,0,1.52,2.58,368.99,0,1.22,0.67,0,0,7.32,0,0,77.38,0,0,1.37,0,0
 48-58,0,0,0,0,4.02,0,33.99,0,0,1.04,8.08,0.51,0,0,0,0,0,0,19.72,0,1.63,0.78,533.49,0,1.77,0,0,0.46,0,0,0,85.39,0,0.85,2.76,0,0
 60-70,0,0,0,0,0,0.67,113.16,0,3.68,0,10.41,0,2.67,0,0,1.62,0,0,31.12,0,11.46,1.72,929.18,0,0,0,0,1.84,0.85,0,0,121.27,0,3.22,0,2.39,1.56
 72-82,0,0,0.53,0,6.98,4.4,257.1,0,0,1.59,23.69,1.13,1.59,0,0,1.71,0,0.88,96.74,0.96,13.41,5.79,1740.47,0,1.23,0.84,0,2.81,1.77,0,0,146.81,0,9.8,8.04,13.58,13.5
 84-94,0,0,0.84,0,1.77,0,205.87,0,0.66,1.1,27.86,0,3.92,0.79,0,3.96,0,0,97.93,0,8.73,2.81,1255.02,0.65,0,0.74,0,0,2.62,0,0,119.19,0,12.72,1.88,9.9,1.67
 96-106,0,0,0,0,5.38,5.18,166.99,1.45,0,0,35.14,0,8.98,0,0,0.77,0,0,125.34,0,28.23,12.53,1184.57,0.64,0.57,0,0,10.81,1.11,0,0,73.51,0,18.79,6.66,36.38,11.96
108-118,0,0,0,0,19.62,0,245.58,0,1.12,1.07,29.14,2.7,4.19,0,0.86,5.83,0.51,1.34,142.84,0,21.18,9.95,1899.42,0,0,0.72,0,15.07,10.51,0,0,52.67,3.2,7.06,5.65,17.26,0
120,0,0,0,0,16.2,1.53,231.88,2.44,0,0,39.44,0,2.27,4.66,0,0,0,0,84.85,0,48.66,2.05,2224.49,0,0,0,0,11.71,1.31,0,0,98.04,0,10.68,4.73,23.99,0
