stage,blastomeres,endoderm,immune,neural,paraxial.mesoderm,vasculature
  5-6,6.12,0,0,0,0,0
  7-9,0,5.5,0,8.28,3.23,0
 10-12,0,0,0,16.89,0,0
 84-94,0,0,1.16,0,0,0
 96-106,0,0,1.26,0,0,0.59
108-118,0,0,5.68,0,0,0
120,0,0,7.03,0,0,0
