stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0.96,3.77,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,75.73,1.04,0,0,0,0.9,1.86,3.07,43.89,0,0,0,0,0
 24-34,1.77,0,3.3,0,5.35,0,0,0,3.11,0,0,0,0,0,0,0,0,1.53,0,0,1.72,470.14,25.67,0,0,0,0,0,0,148.68,0,0,6.81,0,0
 36-46,0,0,0,0,27.86,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,1.62,1300.03,41.01,0,0,4.79,0,0,0,267.37,0,0,0,0,0
 48-58,0,0,4.93,0,105.36,0,0,0,23.23,0,0,0,0.37,0,0,0,0,5.05,0,0,0.46,1853.71,24.27,0.39,0,0,0,0,0,333.82,0,0,0,0,0
 60-70,0.91,0,5.32,6.91,265.74,0,2.9,0,22.3,0,0,0,0,0,0,0,1.94,17.26,0.65,0,5.35,2588.8,27.93,1.23,0,8.01,0,0,0,444.44,0,0.79,0,0,5.4
 72-82,2.58,0,3.93,2.03,332.31,0,0,1.91,49.59,1.55,0,2.29,0,2.8,0,0,0,18.06,0.74,0,0.71,2985.74,70.41,0.95,3.42,1.36,1.65,0,0,299.09,2.03,0,5.02,0,0
 84-94,1.23,0,3.87,0,230.14,0,0,0,23.32,0,1.02,6.69,0,0.75,0,0,0,30.05,0,0,0,1890.17,43.18,2.76,0,0,0,0,0,285.27,0,3.54,0,0.68,10.49
 96-106,1.8,0,6.1,3.97,322.12,0,1.92,2.5,37.59,3.49,0,0,0,0.76,0,1.54,0,15.28,0,0.62,0,1742.75,51.3,2.06,0,7.25,0,0,0,108.04,0,0.68,1.07,0,0
108-118,3.83,0,10.17,1.2,210.91,0,0,0,29.44,0,0,0,0,0.42,2.07,0,0,16.71,0,0,0.91,1901.51,39.3,1.56,0,1.41,0,0,0,79.04,0.67,0,0,0,0
120,6.47,0,17.63,0,272.21,15.85,0,0,41.48,0,0,3.53,0,6.51,0,0,0,16.39,0,0,0,2892.66,49.77,0,0,1.28,0,0,0,106.49,0,0,0,0,0
