stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,16.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517.19,0,0,0,0,0,0,0,0,0
  5-6,0,31.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137.74,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,56.76,0,0,0,46.53,148.38,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.92,0,0,0,83.8,4.05,0,0,0,0,0,0,0,0,0
 14-21,0,1.36,0,1.91,60.18,0,0,1.25,0.83,0,2.1,0,0,16.5,0,0.92,0,0,0.83,0,0,8.97,0,3.85,6.37,2.63,40.48,67.3,0,0.96,18.5,2.87,0,0,0.89,0
 24-34,0,0,0,1.28,37.96,0,0,0,5.59,0,2.8,0,0.65,12.17,0,4.27,0,0.75,3.19,0,2.41,43.87,0.69,28.55,6.84,0,172.65,0,0,0,0,4.28,0,0,4.68,0
 36-46,0,0,0,0,34.38,0,0,0,9.22,1.25,0.56,0,10.29,2.12,0,6.7,0,0,0,0,2.16,54.08,0,14.62,6.57,0,224.92,0,4.43,0,0,0,0,0,0.65,0
 48-58,0,0,0,0,37.46,0,0,1.67,8.65,6.64,2.14,0.49,8.54,27.15,0,7.47,0,0.39,2.35,0,0,50.58,0,10.13,5.84,0,168.46,0,0,0,0,5.55,0,0,2.55,0
 60-70,0,0,0,2.79,27.84,0,0,11.27,13.93,0,4.75,0,8.18,1.8,0,5.77,0,11.01,6.21,0,0,36.33,0,17.69,4.09,0,206.44,0,0,0,0,0,2.3,0.9,7.35,0
 72-82,0,0,3.97,0,16.03,0.52,0,4.77,3.88,2.06,9.83,0.59,12.63,8.49,0,2.86,0,17.76,10.23,0,2.38,28.53,0,22.33,10.44,0,146.88,0,0,0,0,5.78,10.35,0,1.89,0.92
 84-94,0.62,0,3.17,0,54.53,0,0,8.55,8.28,0.68,8.58,1.23,17.78,11.04,0.62,5.98,1.38,17.66,4.53,0,1.54,31.22,0,17.44,9.01,0,529.03,0,0,0,0,0,33.19,0,14.23,0
 96-106,0,0,7.76,0,65.66,0,0,6,11.27,7.31,16.98,0,23.9,18.94,0,12.06,0,3.94,12.31,0,0,16.4,0,36.12,16.03,0,391.49,0,0,0,0,0,48.02,0,7.24,0
108-118,0,0,0.76,0,94.94,1.46,0.44,8.29,27.26,4.68,14.58,0,28.81,22.6,0,3.22,0,11.25,13.17,2.23,0.49,21.22,0,20.02,22.24,0,268.55,0,0,0,0,0,38.19,0,1.82,1.05
120,0,0,0,0,77.88,1.9,0,4.57,7.71,0,4.45,0,63.19,5.92,0,1.6,0,22.96,1.02,0,0,27.06,1.32,17.57,30.2,0,237.81,0,0,0,0,0,29.41,0,8.96,0
