stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,0,115.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.31,0,0,0,0,0,0
  5-6,0,169.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.71,0,0,0,0,0,0
  7-9,10,0,0,0,0,0,17.45,0,0,0,4.81,0,0,0,0,0,0,139.85,0,0,0,49.04,3.26,0,0,0,0,0,0
 10-12,0,0,5.06,0,0,0,6.65,0,0,0,0,0,0,0,0,0,0,14.83,9.11,0,0,17.94,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0,0,0,0,4.3,0,0,0,0,0,0
 36-46,0,0,0,0.59,0,0,0,1.15,0,0,0,1.57,0,0,1.3,0,0,2.32,0,2.19,0,0,6.2,0,1.32,0,0,0,0
 48-58,0,0,0,1.83,0,0,2.61,0,0,0,0,0,0,0,0,0,0,8.85,0,0.64,0,0,2.28,0,0,0.43,0,0,1.32
 60-70,0,0,0,0.64,0,0,2.55,0,0,0.62,0,0.62,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.81,0,0
 72-82,0,0,0,0.56,0,0,1.27,0,1.13,0,0,0,1.88,1.6,0,0,0,0,0,2.88,0.66,0,2.15,0,0,0,1.89,0,0
 84-94,0,0,0,1.9,0.69,0,3.55,0.55,0,0.58,0,0,0,0.61,0,0,0,9.81,0,0,0,0,11.19,0,0,0,0,0,0
 96-106,0,0,0,5.92,0,0,4.35,0,0,0,0,1.17,0,0,1.77,1.24,0,17.75,0,2.09,0.73,0,5.18,0,0,0,0,0,0
108-118,0,0,0,13.56,0,0.58,4.35,0,0,0,0,0.92,0,0,1.08,5.12,0,2.66,0,0,0,0,1.84,1.07,0,0,0,3.24,0
120,0,0,0,8.11,0,0,0,12.11,0,0,0,0,0,0,17.01,0,2.74,5.11,0,0,0,0,13.98,0,0,0,0,0,0
